"","ISO3CD","ROMNAM","MAPLAB","Name_En","O_Name_En","M49","ISO_3","Country","Name_En_stefania","Official_Name_En_Stefania"
"203","ETH","Ethiopia","Ethiopia","Ethiopia","the Federal Democratic Republic of Ethiopia",231,"ETH","Ethiopia","Ethiopia","the Federal Democratic Republic of Ethiopia"
"204","UMI","Palmyra Atoll","Palmyra Atoll (USA)","US Minor Outlying Is.","the United States Minor Islands",581,"USA","United States of America","United States Minor Outlying Islands","the United States Minor Outlying Islands"
"205","PAN","Panama","Panama","Panama","the Republic of Panama",591,"PAN","Panama","Panama","the Republic of Panama"
"206","xJK","Jammu and Kashmir","Jammu and Kashmir **","","",NA,"xJK","",NA,NA
"207","IDN","Indonesia","Indonesia","Indonesia","the Republic of Indonesia",360,"IDN","Indonesia","Indonesia","the Republic of Indonesia"
"208","COL","Colombia","Colombia","Colombia","the Republic of Colombia",170,"COL","Colombia","Colombia","the Republic of Colombia"
"209","MMR","Myanmar","Myanmar","Myanmar","the Republic of the Union of Myanmar",104,"MMR","Myanmar","Myanmar","the Republic of the Union of Myanmar"
"210","SGS","South Georgia and the South Sandwich Islands","South Georgia and the South Sandwich Is.","SouthGeorgia/Sandwich Is","South Georgia and the South Sandwich Islands",239,"GBR","United Kingdom","South Georgia and the South Sandwich Islands","South Georgia and the South Sandwich Islands"
"211","NZL","New Zealand","New Zealand","New Zealand","New Zealand",554,"NZL","New Zealand","New Zealand","New Zealand"
"212","CYP","Cyprus","Cyprus","Cyprus","the Republic of Cyprus",196,"CYP","Cyprus","Cyprus","the Republic of Cyprus"
"213","KAZ","Kazakhstan","Kazakhstan","Kazakhstan","the Republic of Kazakhstan",398,"KAZ","Kazakhstan","Kazakhstan","the Republic of Kazakhstan"
"214","PCN","Pitcairn","Pitcairn *","Pitcairn Islands","Pitcairn Islands",612,"GBR","United Kingdom","Pitcairn","Pitcairn"
"215","MUS","Chagos Archipelago","Chagos Archipelago (Mauritius)","Mauritius","the Republic of Mauritius",480,"MUS","Mauritius","Mauritius","the Republic of Mauritius"
"216","CUW","Curacao","CuraÔøΩao (Neth.)","Curacao","CuraÔøΩao",531,"NLD","Netherlands","Curaçao","Curaçao"
"217","URY","Uruguay","Uruguay","Uruguay","the Eastern Republic of Uruguay",858,"URY","Uruguay","Uruguay","the Eastern Republic of Uruguay"
"218","IMN","Isle of Man","Isle of Man (UK)","Isle of Man","Isle of Man",833,"GBR","United Kingdom","Isle of Man","the Isle of Man"
"219","LAO","Lao People's Democratic Republic","Lao People's Democratic Republic","Lao People's Dem. Rep.","the Lao People's Democratic Republic",418,"LAO","Lao People's Dem. Rep.","Lao People's Democratic Republic","the Lao People's Democratic Republic"
"220","SAU","Saudi Arabia","Saudi Arabia","Saudi Arabia","the Kingdom of Saudi Arabia",682,"SAU","Saudi Arabia","Saudi Arabia","the Kingdom of Saudi Arabia"
"221","LUX","Luxembourg","Luxembourg","Luxembourg","the Grand Duchy of Luxembourg",442,"LUX","Luxembourg","Luxembourg","the Grand Duchy of Luxembourg"
"222","DMA","Dominica","Dominica","Dominica","the Commonwealth of Dominica",212,"DMA","Dominica","Dominica","the Commonwealth of Dominica"
"223","UMI","Johnston Atoll","Johnston Atoll (USA)","US Minor Outlying Is.","the United States Minor Islands",581,"USA","United States of America","United States Minor Outlying Islands","the United States Minor Outlying Islands"
"224","GUM","Guam","Guam *","Guam","Guam",316,"USA","United States of America","Guam","Guam"
"225","GGY","Guernsey","Guernsey (UK)","Guernsey","Bailiwick of Guernsey",831,"GBR","United Kingdom","Guernsey","the Bailiwick of Guernsey"
"226","MAR","Morocco","Morocco","Morocco","the Kingdom of Morocco",504,"MAR","Morocco","Morocco","the Kingdom of Morocco"
"227","BHR","Bahrain","Bahrain","Bahrain","the Kingdom of Bahrain",48,"BHR","Bahrain","Bahrain","the Kingdom of Bahrain"
"228","GNB","Guinea-Bissau","Guinea-Bissau","Guinea-Bissau","the Republic of Guinea-Bissau",624,"GNB","Guinea-Bissau","Guinea-Bissau","the Republic of Guinea-Bissau"
"229","CYM","Cayman Islands","Cayman Islands *","Cayman Islands","Cayman Islands",136,"GBR","United Kingdom","Cayman Islands","the Cayman Islands"
"230","QAT","Qatar","Qatar","Qatar","the State of Qatar",634,"QAT","Qatar","Qatar","the State of Qatar"
"231","GIN","Guinea","Guinea","Guinea","the Republic of Guinea",324,"GIN","Guinea","Guinea","the Republic of Guinea"
"232","RUS","Russian Federation","Russian Federation","Russian Federation","the Russian Federation",643,"RUS","Russian Federation","Russian Federation","the Russian Federation"
"233","JPN","Japan","Japan","Japan","Japan",392,"JPN","Japan","Japan","Japan"
"234","BGD","Bangladesh","Bangladesh","Bangladesh","the People's Republic of Bangladesh",50,"BGD","Bangladesh","Bangladesh","the People's Republic of Bangladesh"
"235","STP","Sao Tome and Principe","Sao Tome and Principe","Sao Tome and Principe","the Democratic Republic of Sao Tome and Principe",678,"STP","Sao Tome and Principe","Sao Tome and Principe","the Democratic Republic of Sao Tome and Principe"
"236","LSO","Lesotho","Lesotho","Lesotho","the Kingdom of Lesotho",426,"LSO","Lesotho","Lesotho","the Kingdom of Lesotho"
"237","BRA","Brazil","Brazil","Brazil","the Federative Republic of Brazil",76,"BRA","Brazil","Brazil","the Federative Republic of Brazil"
"238","BOL","Bolivia (Plurinational State of)","Bolivia (Plurinational State of)","Bolivia (Plurinat.State)","the Plurinational State of Bolivia",68,"BOL","Bolivia (Plurinat.State)","Bolivia (Plurinational State of)","the Plurinational State of Bolivia"
"239","MOZ","Mozambique","Mozambique","Mozambique","the Republic of Mozambique",508,"MOZ","Mozambique","Mozambique","the Republic of Mozambique"
"240","BES","Bonaire","Bonaire (Neth.)","Bonaire/S.Eustatius/Saba","Bonaire, Sint Eustatius and Saba",535,"NLD","Netherlands","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba"
"241","PRT","Madeira Island","Madeira Islands (Port.)","Portugal","the Portuguese Republic",620,"PRT","Portugal","Portugal","the Portuguese Republic"
"242","NPL","Nepal","Nepal","Nepal","Federal Democratic Republic of Nepal",524,"NPL","Nepal","Nepal","Nepal"
"243","UMI","Midway Islands","Midway Islands (USA)","US Minor Outlying Is.","the United States Minor Islands",581,"USA","United States of America","United States Minor Outlying Islands","the United States Minor Outlying Islands"
"244","MHL","Marshall Islands","Marshall Islands","Marshall Islands","the Republic of the Marshall Islands",584,"MHL","Marshall Islands","Marshall Islands","the Republic of the Marshall Islands"
"245","ERI","Eritrea","Eritrea","Eritrea","the State of Eritrea",232,"ERI","Eritrea","Eritrea","the State of Eritrea"
"246","HUN","Hungary","Hungary","Hungary","Hungary",348,"HUN","Hungary","Hungary","Hungary"
"247","DOM","Dominican Republic","Dominican Republic","Dominican Republic","the Dominican Republic",214,"DOM","Dominican Republic","Dominican Republic","the Dominican Republic"
"248","KHM","Cambodia","Cambodia","Cambodia","the Kingdom of Cambodia",116,"KHM","Cambodia","Cambodia","the Kingdom of Cambodia"
"249","SXM","Sint Maarten","Sint Maarten (Neth.)","Sint Maarten","Sint Maarten (Dutch Part)",534,"NLD","Netherlands","Sint Maarten (Dutch part)","Sint Maarten (Dutch part)"
"250","LBY","Libya","Libya","Libya","State of Libya",434,"LBY","Libya","Libya","the State of Libya"
"251","TTO","Trinidad and Tobago","Trinidad and Tobago","Trinidad and Tobago","the Republic of Trinidad and Tobago",780,"TTO","Trinidad and Tobago","Trinidad and Tobago","the Republic of Trinidad and Tobago"
"252","MEX","Mexico","Mexico","Mexico","the United Mexican States",484,"MEX","Mexico","Mexico","the United Mexican States"
"253","LCA","Saint Lucia","Saint Lucia","Saint Lucia","Saint Lucia",662,"LCA","Saint Lucia","Saint Lucia","Saint Lucia"
"254","ARE","United Arab Emirates","United Arab Emirates","United Arab Emirates","the United Arab Emirates",784,"ARE","United Arab Emirates","United Arab Emirates","the United Arab Emirates"
"255","BVT","Bouvet Island","Bouvet Island","Bouvet Island","Bouvet Island",74,"NOR","Norway","Bouvet Island","Bouvet Island"
"256","KGZ","Kyrgyzstan","Kyrgyzstan","Kyrgyzstan","the Kyrgyz Republic",417,"KGZ","Kyrgyzstan","Kyrgyzstan","the Kyrgyz Republic"
"257","CCK","Cocos (Keeling) Islands","Cocos (Keeling) Is. (Aust.)","Cocos (Keeling) Islands","Cocos (Keeling) Islands",166,"AUS","Australia","Cocos (Keeling) Islands","the Cocos (Keeling) Islands"
"258","RWA","Rwanda","Rwanda","Rwanda","the Republic of Rwanda",646,"RWA","Rwanda","Rwanda","the Republic of Rwanda"
"259","DJI","Djibouti","Djibouti","Djibouti","the Republic of Djibouti",262,"DJI","Djibouti","Djibouti","the Republic of Djibouti"
"260","TUR","Turkey","Turkey","Turkey","the Republic of Turkey",792,"TUR","Turkey","Türkiye","the Republic of Türkiye"
"261","BEL","Belgium","Belgium","Belgium","the Kingdom of Belgium",56,"BEL","Belgium","Belgium","the Kingdom of Belgium"
"262","HND","Honduras","Honduras","Honduras","the Republic of Honduras",340,"HND","Honduras","Honduras","the Republic of Honduras"
"263","MNP","Northern Mariana Is. (USA)","Northern Mariana Is. (USA)","Northern Mariana Is.","Northern Mariana Islands",580,"USA","United States of America","Northern Mariana Islands","the Commonwealth of the Northern Mariana Islands"
"264","AUT","Austria","Austria","Austria","the Republic of Austria",40,"AUT","Austria","Austria","the Republic of Austria"
"265","NCL","New Caledonia","New Caledonia *","New Caledonia","New Caledonia",540,"FRA","France","New Caledonia","New Caledonia"
"266","PNG","Papua New Guinea","Papua New Guinea","Papua New Guinea","Independent State of Papua New Guinea",598,"PNG","Papua New Guinea","Papua New Guinea","the Independent State of Papua New Guinea"
"267","FRO","Faroe Islands","Faroe Islands (Denmark)","Faroe Islands","Faroe Islands",234,"DNK","Denmark","Faroe Islands","the Faroe Islands"
"268","PRK","Democratic People's Republic of Korea","Democratic People's Republic of Korea","Korea, Dem. People's Rep","the Democratic People's Republic of Korea",408,"PRK","Korea, Dem. People's Rep","Democratic People's Republic of Korea","the Democratic People's Republic of Korea"
"269","SUR","Suriname","Suriname","Suriname","the Republic of Suriname",740,"SUR","Suriname","Suriname","the Republic of Suriname"
"270","ISR","Israel","Israel","Israel","the State of Israel",376,"ISR","Israel","Israel","the State of Israel"
"271","ESH","Western Sahara","Western Sahara *","Western Sahara","Western Sahara",732,"ESH","Western Sahara","Western Sahara","Western Sahara"
"272","SYR","Syrian Arab Republic","Syrian Arab Republic","Syrian Arab Republic","the Syrian Arab Republic",760,"SYR","Syrian Arab Republic","Syrian Arab Republic","the Syrian Arab Republic"
"273","UZB","Uzbekistan","Uzbekistan","Uzbekistan","the Republic of Uzbekistan",860,"UZB","Uzbekistan","Uzbekistan","the Republic of Uzbekistan"
"274","PER","Peru","Peru","Peru","the Republic of Peru",604,"PER","Peru","Peru","the Republic of Peru"
"275","KEN","Kenya","Kenya","Kenya","the Republic of Kenya",404,"KEN","Kenya","Kenya","the Republic of Kenya"
"276","NAM","Namibia","Namibia","Namibia","the Republic of Namibia",516,"NAM","Namibia","Namibia","the Republic of Namibia"
"277","GAB","Gabon","Gabon","Gabon","the Gabonese Republic",266,"GAB","Gabon","Gabon","the Gabonese Republic"
"278","LVA","Latvia","Latvia","Latvia","the Republic of Latvia",428,"LVA","Latvia","Latvia","the Republic of Latvia"
"279","MKD","North Macedonia","North Macedonia","North Macedonia","the Republic of North Macedonia",807,"MKD","North Macedonia","North Macedonia","the Republic of North Macedonia"
"280","AFG","Afghanistan","Afghanistan","Afghanistan","The Islamic Republic of Afghanistan",4,"AFG","Afghanistan","Afghanistan","the Islamic Republic of Afghanistan"
"281","TCA","Turks and Caicos Islands","Turks and Caicos Islands *","Turks and Caicos Is.","Turks and Caicos Islands",796,"GBR","United Kingdom","Turks and Caicos Islands","the Turks and Caicos Islands"
"282","AIA","Anguilla","Anguilla *","Anguilla","Anguilla",660,"GBR","United Kingdom","Anguilla","Anguilla"
"283","",NA,NA,NA,NA,NA,NA,NA,"Belgium-Luxembourg",""
"284","IOT",NA,NA,NA,NA,NA,NA,NA,"British Indian Ocean Territory","the British Indian Ocean Territory"
"285","",NA,NA,NA,NA,NA,NA,NA,"Canton and Enderbury Islands","the Canton and Enderbury Islands"
"286","CSK",NA,NA,NA,NA,NA,NA,NA,"Czechoslovakia","Czechoslovakia"
"287","",NA,NA,NA,NA,NA,NA,NA,"Ethiopia PDR",""
"288","",NA,NA,NA,NA,NA,NA,NA,"Gaza Strip","the Gaza Strip"
"289","",NA,NA,NA,NA,NA,NA,NA,"Germany,New Länder",""
"290","",NA,NA,NA,NA,NA,NA,NA,"Germany, Fed. Rep. of",""
"291","JTN",NA,NA,NA,NA,NA,NA,NA,"Johnston Island","Johnston Island"
"292","MID",NA,NA,NA,NA,NA,NA,NA,"Midway Islands","the Midway Islands"
"293","ANT",NA,NA,NA,NA,NA,NA,NA,"Netherlands Antilles","Netherlands Antilles"
"294","",NA,NA,NA,NA,NA,NA,NA,"Neutral Zone","the Neutral Zone"
"295","",NA,NA,NA,NA,NA,NA,NA,"Trust Territory of the Pacific Islands","the Trust Territory of the Pacific Islands"
"296","SCG",NA,NA,NA,NA,NA,NA,NA,"Serbia and Montenegro","Serbia and Montenegro"
"297","",NA,NA,NA,NA,NA,NA,NA,"Sudan (former)","the Republic of the Sudan"
"298","SUN",NA,NA,NA,NA,NA,NA,NA,"Un. Sov. Soc. Rep.","Union of Soviet Socialist Republics"
"299","WAK",NA,NA,NA,NA,NA,NA,NA,"Wake Island","Wake Island"
"300","",NA,NA,NA,NA,NA,NA,NA,"West Bank","the West Bank"
"301","",NA,NA,NA,NA,NA,NA,NA,"Yemen Arab Republic",""
"302","",NA,NA,NA,NA,NA,NA,NA,"Yemen, Democratic",""
"303","YUG",NA,NA,NA,NA,NA,NA,NA,"Yugoslavia SFR","Socialist Federal Republic of Yugoslavia"
"304","",NA,NA,NA,NA,NA,NA,NA,"Other NEI","Other NEI"
"305","",NA,NA,NA,NA,NA,NA,NA,"Channel Islands","the Channel Islands"
"306","EAZ",NA,NA,NA,NA,NA,NA,NA,"United Republic of Tanzania, Zanzibar","the United Republic of Tanzania, Zanzibar"
"307","",NA,NA,NA,NA,NA,NA,NA,"Sark","Sark"
"308","EUR",NA,NA,NA,NA,NA,NA,NA,"European Union","the European Union"
