#
# national population in 10^6 people
# (commas in the country name have been replaced by ;)
#
iso,country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ABW,Aruba,0.10433900000000002,0.10486500000000001,0.105361,0.10584600000000001,0.10630999999999999,0.10676600000000001,0.107195,0.1072844444444445,0.10737388888888902,0.10746333333333352,0.10755277777777802,0.10782222222222242,0.10809166666666681,0.10836111111111121,0.1086305555555556,0.1089,0.10922,0.10954,0.10986,0.11018,0.1105,0.11062,0.11074,0.11086,0.11098000000000001,0.1111,0.11120000000000001,0.11130000000000001,0.1114,0.1115,0.1116,0.1116,0.1116,0.1116,0.1116,0.1116,0.11164,0.11168,0.11172,0.11176,0.1118,0.11177999999999999,0.11176,0.11173999999999999,0.11172,0.1117,0.1118,0.1119,0.11199999999999999,0.11209999999999999,0.1122,0.11222,0.11223999999999999,0.11226,0.11227999999999999,0.1123,0.1124,0.1125,0.11259999999999999,0.1127,0.1128,0.11296,0.11312,0.11328,0.11344,0.1136,0.11356000000000001,0.11352000000000001,0.11348,0.11344,0.1134,0.11342,0.11344,0.11346,0.11348,0.1135,0.11342,0.11334000000000001,0.11326,0.11318,0.1131,0.1129,0.11270000000000001,0.1125,0.11230000000000001,0.1121
AFG,Afghanistan,34.413603,35.383028,36.296110999999996,37.171921999999995,38.041757000000004,38.928340999999996,39.835428,40.579902666666676,41.32437733333335,42.06885200000003,42.813326666666704,43.479721333333366,44.14611600000002,44.81251066666668,45.47890533333334,46.1453,46.8349,47.524499999999996,48.2141,48.9037,49.5933,50.1993,50.8053,51.4113,52.0173,52.6233,53.12386,53.62442,54.12498,54.62554,55.1261,55.51814,55.910180000000004,56.30222,56.69426,57.0863,57.36196,57.63762,57.91328,58.188939999999995,58.4646,58.6335,58.8024,58.9713,59.1402,59.3091,59.37766,59.44622,59.51478,59.58334,59.6519,59.6228,59.5937,59.5646,59.5355,59.5064,59.3817,59.257,59.1323,59.0076,58.8829,58.65058,58.41826,58.18594,57.95362,57.7213,57.38822,57.05514,56.72206,56.388980000000004,56.0559,55.63152,55.20714,54.782759999999996,54.35838,53.934,53.431439999999995,52.92888,52.42632,51.92376,51.4212,50.858579999999996,50.29596,49.73334,49.17072,48.6081
AGO,Angola,27.88438,28.842482,29.816769,30.809787,31.825298999999998,32.866268,33.933611,34.3367431111111,34.739875222222196,35.1430073333333,35.5461394444444,35.82669155555552,36.10724366666664,36.38779577777776,36.66834788888888,36.9489,37.3532,37.7575,38.1618,38.5661,38.9704,39.33848,39.706559999999996,40.07464,40.44272,40.8108,41.14366,41.47652,41.80938,42.14224,42.4751,42.7557,43.0363,43.316900000000004,43.597500000000004,43.8781,44.0861,44.2941,44.502100000000006,44.710100000000004,44.9181,45.04386,45.16962,45.29538,45.42114,45.5469,45.59856,45.65022,45.70188,45.75354,45.8052,45.79968,45.79416,45.78864,45.78312,45.7776,45.70888,45.64016,45.571439999999996,45.50272,45.434,45.30504,45.17608,45.04712,44.91816,44.7892,44.59182,44.39444,44.19706,43.999680000000005,43.8023,43.53136,43.26042,42.98948,42.718540000000004,42.4476,42.10644,41.76528,41.42412,41.08296,40.7418,40.34486,39.947919999999996,39.55098,39.15404,38.7571
AIA,Anguilla,0.014279,0.014435,0.014588,0.014738,0.014872,0.015002000000000001,0.015125,0.01522444444444445,0.0153238888888889,0.01542333333333335,0.0155227777777778,0.01560162222222224,0.015680466666666677,0.01575931111111112,0.01583815555555556,0.015916999999999997,0.015978999999999997,0.016041,0.016103,0.016165000000000002,0.016227000000000002,0.016270800000000002,0.016314600000000002,0.016358400000000002,0.016402200000000002,0.016446000000000002,0.016466,0.016486,0.016506000000000003,0.016526000000000002,0.016546,0.016541200000000002,0.0165364,0.0165316,0.016526799999999998,0.016522,0.0164944,0.0164668,0.016439199999999998,0.0164116,0.016384,0.016342199999999998,0.0163004,0.016258599999999998,0.0162168,0.016175,0.0161216,0.0160682,0.0160148,0.0159614,0.015908000000000002,0.0158462,0.0157844,0.015722600000000003,0.015660800000000002,0.015599000000000002,0.015533400000000001,0.015467800000000002,0.015402200000000001,0.015336600000000002,0.015271000000000002,0.015201000000000001,0.015131,0.015061000000000001,0.014991,0.014921,0.0148508,0.0147806,0.0147104,0.014640199999999999,0.01457,0.0145066,0.0144432,0.0143798,0.0143164,0.014253,0.014191,0.014129000000000001,0.014067,0.014005,0.013943,0.0138814,0.0138198,0.0137582,0.0136966,0.013635
ALA,Åland Islands,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996
ALB,Albania,2.890524,2.886427,2.884169,2.882735,2.880913,2.8778,2.872934,2.8391746666666675,2.805415333333335,2.7716560000000023,2.73789666666667,2.693277333333336,2.648658000000002,2.604038666666668,2.559419333333334,2.5148,2.47418,2.43356,2.3929400000000003,2.35232,2.3117,2.27076,2.22982,2.1888799999999997,2.1479399999999997,2.1069999999999998,2.0656399999999997,2.0242799999999996,1.9829199999999998,1.94156,1.9002,1.86008,1.81996,1.7798399999999999,1.73972,1.6996,1.66148,1.6233600000000001,1.58524,1.54712,1.5090000000000001,1.4738200000000001,1.4386400000000001,1.40346,1.36828,1.3331,1.301,1.2689,1.2368000000000001,1.2047,1.1726,1.14372,1.11484,1.08596,1.05708,1.0282,1.00218,0.97616,0.95014,0.92412,0.8981,0.87452,0.85094,0.82736,0.80378,0.7802,0.75914,0.7380800000000001,0.71702,0.69596,0.6749,0.6561400000000001,0.6373800000000001,0.61862,0.59986,0.5811,0.56504,0.54898,0.53292,0.51686,0.5008,0.48700000000000004,0.4732,0.45940000000000003,0.4456,0.4318
AND,Andorra,0.07799299999999999,0.077295,0.076997,0.07700800000000001,0.077146,0.077265,0.07735399999999999,0.077457,0.07755999999999999,0.077663,0.077766,0.0777982,0.0778304,0.0778626,0.0778948,0.077927,0.0779364,0.0779458,0.0779552,0.0779646,0.077974,0.0779512,0.0779284,0.0779056,0.0778828,0.07786,0.0777516,0.0776432,0.0775348,0.07742639999999999,0.077318,0.077079,0.07683999999999999,0.076601,0.076362,0.076123,0.0757398,0.0753566,0.07497340000000001,0.07459020000000001,0.07420700000000001,0.07372240000000001,0.0732378,0.0727532,0.0722686,0.071784,0.0712718,0.0707596,0.0702474,0.06973520000000001,0.069223,0.06876560000000001,0.0683082,0.0678508,0.06739339999999999,0.066936,0.0665832,0.0662304,0.06587760000000001,0.06552480000000001,0.06517200000000001,0.06494660000000001,0.0647212,0.0644958,0.0642704,0.064045,0.06392,0.063795,0.06367,0.063545,0.06342,0.0633484,0.06327680000000001,0.0632052,0.06313360000000001,0.063062,0.0629982,0.0629344,0.0628706,0.0628068,0.062743,0.0626756,0.06260819999999999,0.0625408,0.0624734,0.062405999999999996
ARE,United Arab Emirates,9.262896000000001,9.360975,9.487206,9.630966,9.770526,9.8904,9.991083,10.2959071111111,10.600731222222201,10.9055553333333,11.210379444444401,11.559263555555521,11.908147666666641,12.257031777777762,12.60591588888888,12.9548,13.247160000000001,13.539520000000001,13.83188,14.12424,14.4166,14.70146,14.986320000000001,15.27118,15.55604,15.8409,16.108999999999998,16.3771,16.6452,16.9133,17.1814,17.42436,17.66732,17.91028,18.15324,18.3962,18.61198,18.82776,19.04354,19.259320000000002,19.4751,19.66272,19.85034,20.03796,20.22558,20.4132,20.571839999999998,20.73048,20.88912,21.04776,21.2064,21.33504,21.46368,21.592319999999997,21.720959999999998,21.8496,21.949299999999997,22.049,22.148699999999998,22.2484,22.3481,22.42492,22.501739999999998,22.57856,22.655379999999997,22.7322,22.79608,22.85996,22.92384,22.98772,23.0516,23.113,23.1744,23.2358,23.2972,23.3586,23.424039999999998,23.48948,23.55492,23.62036,23.6858,23.75412,23.82244,23.89076,23.95908,24.0274
ARG,Argentina,43.075416,43.508459,43.937143,44.36115,44.780675,45.195777,45.605823,45.933542666666675,46.26126233333335,46.58898200000002,46.9167016666667,47.21268133333336,47.50866100000002,47.80464066666668,48.10062033333334,48.3966,48.66768,48.938759999999995,49.20984,49.48092,49.751999999999995,49.99885999999999,50.24572,50.49258,50.73944,50.9863,51.20304,51.41978,51.63652,51.85326,52.07,52.24854,52.42708,52.60562,52.78416,52.9627,53.098,53.2333,53.3686,53.5039,53.6392,53.73102,53.82284,53.914660000000005,54.00648,54.0983,54.14784,54.19738,54.24692,54.29646,54.346000000000004,54.35756,54.36912,54.38068,54.39224,54.4038,54.37846,54.35312,54.32778,54.30244,54.2771,54.216919999999995,54.15674,54.09656,54.03638,53.9762,53.88606,53.79592,53.70578,53.61564,53.5255,53.410360000000004,53.29522,53.180080000000004,53.06494,52.9498,52.81076,52.67172,52.532680000000006,52.393640000000005,52.2546,52.094620000000006,51.93464,51.774660000000004,51.61468,51.4547
ARM,Armenia,2.925559,2.936147,2.944789,2.951741,2.957728,2.963234,2.968128,2.93214711111111,2.89616622222222,2.86018533333333,2.82420444444444,2.780343555555552,2.736482666666664,2.692621777777776,2.648760888888888,2.6049,2.5756,2.5463,2.5170000000000003,2.4877000000000002,2.4584,2.43018,2.40196,2.37374,2.34552,2.3173,2.29044,2.26358,2.23672,2.2098600000000004,2.1830000000000003,2.15722,2.13144,2.1056600000000003,2.07988,2.0541,2.03008,2.00606,1.98204,1.95802,1.9340000000000002,1.9119000000000002,1.8898000000000001,1.8677,1.8456,1.8235,1.8032199999999998,1.78294,1.76266,1.74238,1.7221,1.70306,1.68402,1.66498,1.64594,1.6269,1.6091,1.5913,1.5735000000000001,1.5557,1.5379,1.52122,1.50454,1.48786,1.47118,1.4545,1.43902,1.42354,1.4080599999999999,1.39258,1.3771,1.3635599999999999,1.35002,1.33648,1.32294,1.3094,1.29854,1.28768,1.27682,1.26596,1.2551,1.24698,1.23886,1.23074,1.22262,1.2145
