"","OCEAN","ID_mrgd","nm_mrgd","continent_map","fa_ffcl"
"152",NA,8433,"Venezuelan Exclusive Economic Zone","Americas","the Bolivarian Republic of Venezuela"
"153",NA,8427,"Honduran Exclusive Economic Zone","Americas","the Republic of Honduras"
"154",NA,48974,"Joint regime area Ecuador / Colombia","Americas",NA
"155",NA,48975,"Joint regime area Iceland / Norway (Jan Mayen)","Europe",NA
"156",NA,8493,"Canadian Exclusive Economic Zone","Americas","Canada"
"157",NA,8368,"Overlapping claim Western Saharan Exclusive Economic Zone","Africa",NA
"158",NA,8461,"Surinamese Exclusive Economic Zone","Americas","the Republic of Suriname"
"159",NA,8462,"French Guiana Exclusive Economic Zone","Americas","French Guiana"
"160",NA,48982,"Overlapping claim: Puerto Rico / Dominican Republic","Americas",NA
"161",NA,8452,"Johnston Atoll Exclusive Economic Zone","Oceania","the United States Minor Outlying Islands"
"162",NA,8426,"Colombian Exclusive Economic Zone","Americas","the Republic of Colombia"
"163",NA,62596,"Colombian Exclusive Economic Zone (Serrana)","Americas","the Republic of Colombia"
"164",NA,62598,"Colombian Exclusive Economic Zone (Quitasueño)","Americas","the Republic of Colombia"
"165",NA,48984,"Colombian Exclusive Economic Zone (Serranilla)","Americas","the Republic of Colombia"
"166",NA,48985,"Colombian Exclusive Economic Zone (Bajo Nuevo)","Americas","the Republic of Colombia"
"167",NA,8367,"Moroccan Exclusive Economic Zone","Africa","the Kingdom of Morocco"
"168",NA,49000,"Overlapping claim Melilla: Spain / Morocco","Africa",NA
"169",NA,49001,"Overlapping claim Alhucemas Islands: Spain / Morocco","Africa",NA
"170",NA,48998,"Overlapping claim Perejil Island: Spain / Morocco","Africa",NA
"171",NA,49002,"Overlapping claim Ceuta: Spain / Morocco","Africa",NA
"172",NA,48999,"Overlapping claim Peñón de Vélez de la Gomera: Spain / Morocco","Africa",NA
"173",NA,48997,"Overlapping claim Chafarinas Islands: Spain / Morocco","Africa",NA
"174",NA,8360,"United Arab Emirates Exclusive Economic Zone","Asia","the United Arab Emirates"
"175",NA,8376,"Cypriote Exclusive Economic Zone","Asia","the Republic of Cyprus"
"176",NA,48947,"Overlapping claim: Iran / United Arab Emirates","Asia",NA
"177",NA,48956,"Overlapping claim Doumeira Islands: Djibouti / Eritrea","Africa",NA
"178",NA,8490,"Egyptian Exclusive Economic Zone","Africa","the Arab Republic of Egypt"
"179",NA,8351,"Eritrean Exclusive Economic Zone","Africa","the State of Eritrea"
"180",NA,5678,"Georgian Exclusive Economic Zone","Asia","Georgia"
"181",NA,8469,"Iranian Exclusive Economic Zone","Asia","the Islamic Republic of Iran"
"182",NA,8374,"Lebanese Exclusive Economic Zone","Asia","the Lebanese Republic"
"183",NA,8372,"Libyan Exclusive Economic Zone","Africa","the State of Libya"
"184",NA,5685,"Maltese Exclusive Economic Zone","Europe","the Republic of Malta"
"185",NA,8354,"Omani Exclusive Economic Zone","Asia","the Sultanate of Oman"
"186",NA,8356,"Saudi Arabian Exclusive Economic Zone","Asia","the Kingdom of Saudi Arabia"
"187",NA,8346,"Sri Lankan Exclusive Economic Zone","Asia","the Democratic Socialist Republic of Sri Lanka"
"188",NA,8355,"Sudanese Exclusive Economic Zone","Africa","the Republic of the Sudan"
"189",NA,8373,"Syrian Exclusive Economic Zone","Asia","the Syrian Arab Republic"
"190",NA,8392,"Togolese Exclusive Economic Zone","Africa","the Togolese Republic"
"191",NA,5679,"Greek Exclusive Economic Zone","Europe","the Hellenic Republic"
"192",NA,5697,"Turkish Exclusive Economic Zone","Asia","the Republic of Türkiye"
"193",NA,21790,"Monégasque Exclusive Economic Zone","Europe","the Principality of Monaco"
"194",NA,8366,"Tunisian Exclusive Economic Zone","Africa","the Republic of Tunisia"
"195",NA,5691,"Montenegrin Exclusive economic Zone","Europe","Montenegro"
"196",NA,5670,"Albanian Exclusive Economic Zone","Europe","the Republic of Albania"
"197",NA,5672,"Bulgarian Exclusive Economic Zone","Europe","the Republic of Bulgaria"
"198",NA,48953,"Palestinian Exclusive Economic Zone","Asia","Palestine"
"199",NA,8357,"Kuwaiti Exclusive Economic Zone","Asia","the State of Kuwait"
"200",NA,8470,"Iraqi Exclusive Economic Zone","Asia","the Republic of Iraq"
"201",NA,8358,"Bahraini Exclusive Economic Zone","Asia","the Kingdom of Bahrain"
"202",NA,8468,"Qatari Exclusive Economic Zone","Asia","the State of Qatar"
"203",NA,8353,"Yemeni Exclusive Economic Zone","Asia","the Republic of Yemen"
"204",NA,8375,"Israeli Exclusive Economic Zone","Asia","the State of Israel"
"205",NA,8491,"Jordanian Exclusive Economic Zone","Asia","the Hashemite Kingdom of Jordan"
"206",NA,8352,"Djiboutian Exclusive Economic Zone","Africa","the Republic of Djibouti"
"207",NA,8481,"Bangladeshi Exclusive Economic Zone","Asia","the People's Republic of Bangladesh"
"208",NA,8474,"Nigerian Exclusive Economic Zone","Africa","the Federal Republic of Nigeria"
"209",NA,8475,"Cameroonian Exclusive Economic Zone","Africa","the Republic of Cameroon"
"210",NA,21797,"Joint regime area Nigeria / Sao Tome and Principe","Africa",NA
"211",NA,48976,"Joint regime area Italy / France","Europe",NA
"212",NA,22491,"Bosnian and Herzegovinian Exclusive Economic Zone","Europe","Bosnia and Herzegovina"
"213",NA,48957,"Guam Exclusive Economic Zone","Oceania","Guam"
"214",NA,8318,"Marshall Islands Exclusive Economic Zone","Oceania","the Republic of the Marshall Islands"
"215",NA,48980,"Northern Mariana Exclusive Economic Zone","Oceania","the Commonwealth of the Northern Mariana Islands"
"216",NA,8315,"Palau Exclusive Economic Zone","Oceania","the Republic of Palau"
"217",NA,8322,"Philippines Exclusive Economic Zone","Asia","the Republic of the Philippines"
"218",NA,48954,"Overlapping claim Senkaku Islands: Japan / China / Taiwan","Asia",NA
"219",NA,8485,"Singaporean Exclusive Economic Zone","Asia","the Republic of Singapore"
"220",NA,8332,"Thailand Exclusive Economic Zone","Asia","the Kingdom of Thailand"
"221",NA,8319,"Wake Island Exclusive Economic Zone","Oceania","the United States Minor Outlying Islands"
"222",NA,8484,"Vietnamese Exclusive Economic Zone","Asia","the Socialist Republic of Viet Nam"
"223",NA,21796,"Joint regime area Japan / Korea","Asia",NA
"224",NA,26521,"Bruneian Exclusive Economic Zone","Asia","Brunei Darussalam"
"225",NA,8321,"Taiwanese Exclusive Economic Zone","Asia","Taiwan Province of China"
"226",NA,8328,"North Korean Exclusive Economic Zone","Asia","the Democratic People's Republic of Korea"
"227",NA,8331,"Cambodian Exclusive Economic Zone","Asia","the Kingdom of Cambodia"
"228",NA,8486,"Chinese Exclusive Economic Zone","Asia","the People's Republic of China"
"229",NA,5675,"Estonian Exclusive Economic Zone","Europe","the Republic of Estonia"
"230",NA,5676,"Finnish Exclusive Economic Zone","Europe","the Republic of Finland"
"231",NA,5694,"Swedish Exclusive Economic Zone","Europe","the Kingdom of Sweden"
"232",NA,5684,"Lithuanian Exclusive Economic Zone","Europe","the Republic of Lithuania"
"233",NA,48977,"Joint regime area Sweden / Norway","Europe",NA
"234",NA,3293,"Belgian Exclusive Economic Zone","Europe","the Kingdom of Belgium"
"235",NA,5668,"Dutch Exclusive Economic Zone","Europe","the Kingdom of the Netherlands"
"236",NA,5669,"German Exclusive Economic Zone","Europe","the Federal Republic of Germany"
"237",NA,5674,"Danish Exclusive Economic Zone","Europe","the Kingdom of Denmark"
"238",NA,5683,"Latvian Exclusive Economic Zone","Europe","the Republic of Latvia"
"239",NA,5673,"Croatian Exclusive Economic Zone","Europe","the Republic of Croatia"
"240",NA,5682,"Italian Exclusive Economic Zone","Europe","the Republic of Italy"
"241",NA,5695,"Overlapping claim Ukrainian Exclusive Economic Zone","Europe",NA
"242",NA,5689,"Romanian Exclusive economic Zone","Europe","Romania"
"243",NA,8487,"Japanese Exclusive Economic Zone","Asia","Japan"
"244",NA,48950,"Overlapping claim Kuril Islands: Japan / Russia",NA,NA
"245",NA,8333,"Indian Exclusive Economic Zone (Andaman and Nicobar Islands)","Asia",NA
"246",NA,8359,"Pakistani Exclusive Economic Zone","Asia","the Islamic Republic of Pakistan"
"247",NA,26523,"Turkmen Exclusive Economic Zone","Asia","Turkmenistan"
"248",NA,26524,"Azerbaijanis Exclusive Economic Zone","Asia","the Republic of Azerbaijan"
"249",NA,26522,"Kazakh Exclusive Economic Zone","Asia","the Republic of Kazakhstan"
"250",NA,8482,"Myanmar Exclusive Economic Zone","Asia","the Republic of the Union of Myanmar"
"251",NA,5687,"Polish Exclusive Economic Zone","Europe","the Republic of Poland"
"252",NA,8480,"Indian Exclusive Economic Zone","Asia","the Republic of India"
"253",NA,26582,"Overlapping claim: Sudan / Egypt","Africa",NA
"254",NA,8393,"Beninese Exclusive Economic Zone","Africa","the Republic of Benin"
"255",NA,5692,"Slovenian Exclusive Economic Zone","Europe","the Republic of Slovenia"
"256",NA,8483,"Malaysian Exclusive Economic Zone","Asia","Malaysia"
"257",NA,49003,"Overlapping claim South China Sea","Asia",NA
"258",NA,50167,"Joint regime area Croatia / Slovenia","Europe",NA
"259",NA,8327,"South Korean Exclusive Economic Zone","Asia","the Republic of Korea"
"260",NA,48955,"Overlapping claim Liancourt Rocks: Japan / South Korea","Asia",NA
"261",NA,50170,"Overlapping claim Qatar / Saudi Arabia / United Arab Emirates","Asia",NA
"262",NA,8455,"New Zealand Exclusive Economic Zone","Oceania","New Zealand"
"263",NA,8442,"Jarvis Island Exclusive Economic Zone","Oceania","the United States Minor Outlying Islands"
"264",NA,8326,"Tuvaluan Exclusive Economic Zone","Oceania","Tuvalu"
"265",NA,8454,"Wallis and Futuna Exclusive Economic Zone","Oceania","the Wallis and Futuna Islands"
"266",NA,8451,"Howland and Baker Islands Exclusive Economic Zone","Oceania","the United States Minor Outlying Islands"
"267",NA,8325,"Fijian Exclusive Economic Zone","Oceania","the Republic of Fiji"
"268",NA,8464,"Brazilian Exclusive Economic Zone","Americas","the Federative Republic of Brazil"
"269",NA,8441,"Kiribati Exclusive Economic Zone (Line Islands)","Oceania","the Republic of Kiribati"
"270",NA,8488,"Kiribati Exclusive Economic Zone (Gilbert Islands)","Oceania","the Republic of Kiribati"
"271",NA,8403,"Ecuadorian Exclusive Economic Zone (Galapagos)","Americas","the Republic of Ecuador"
"272",NA,8431,"Ecuadorian Exclusive Economic Zone","Americas","the Republic of Ecuador"
"273",NA,8397,"Sao Tome and Principe Exclusive Economic Zone","Africa","the Democratic Republic of Sao Tome and Principe"
"274",NA,8316,"Micronesian Exclusive Economic Zone","Oceania","the Federated States of Micronesia"
"275",NA,8398,"Equatorial Guinean Exclusive Economic Zone","Africa","the Republic of Equatorial Guinea"
"276",NA,8345,"Maldives Exclusive Economic Zone","Asia","the Republic of Maldives"
"277",NA,8324,"Papua New Guinean Exclusive Economic Zone","Oceania","the Independent State of Papua New Guinea"
"278",NA,8350,"Somali Exclusive Economic Zone","Africa","the Federal Republic of Somalia"
"279",NA,8317,"Nauruan Exclusive Economic Zone","Oceania","the Republic of Nauru"
"280",NA,8476,"Gabonese Exclusive Economic Zone","Africa","the Gabonese Republic"
"281",NA,8492,"Indonesian Exclusive Economic Zone","Asia","the Republic of Indonesia"
"282",NA,48978,"Joint regime area United States / Russia",NA,NA
"283",NA,5677,"French Exclusive Economic Zone","Europe","the French Republic"
"284",NA,8378,"Algerian Exclusive Economic Zone","Africa","the People's Democratic Republic of Algeria"
"285",NA,8400,"Ghanaian Exclusive Economic Zone","Africa","the Republic of Ghana"
"286",NA,8438,"Greenlandic Exclusive Economic Zone","Americas","Greenland"
"287",NA,5696,"United Kingdom Exclusive Economic Zone","Europe","the United Kingdom of Great Britain and Northern Ireland"
"288",NA,8453,"United States Exclusive Economic Zone (Hawaii)","Americas","the United States of America"
"289",NA,33181,"Svalbard Exclusive Economic Zone","Europe","the Svalbard and Jan Mayen Islands"
"290",NA,5686,"Norwegian Exclusive Economic Zone","Europe","the Kingdom of Norway"
"291",NA,5690,"Russian Exclusive economic Zone","Europe","the Russian Federation"
"292",NA,8437,"Jan Mayen Exclusive Economic Zone","Europe","the Svalbard and Jan Mayen Islands"
"293",NA,8463,"United States Exclusive Economic Zone (Alaska)","Americas","the United States of America"
"294",NA,5693,"Spanish Exclusive Economic Zone","Europe","the Kingdom of Spain"
"295",NA,62589,"Chagos Archipelago Exclusive Economic Zone","Africa","the Republic of Mauritius"
"296",NA,8383,"Overlapping claim South Georgia and South Sandwich Islands: UK / Argentina","Americas",NA
"297",NA,8402,"Bermudian Exclusive Economic Zone","Americas","Bermuda"
"298",NA,8456,"United States Exclusive Economic Zone","Americas","the United States of America"
