ID,SHORT NAME,LIST NAME,FULL NAME,ADJECTIVE/INHABITANT,CAPITAL_CITY,CURRENCY NAME,CURRENCY SYMBOL,NOTES,ENGLISH_LIST NAME
15377,Plurinational State of Bolivia (the),Bolivia (Plurinational State of),the Plurinational State of Bolivia,Bolivian,La Paz; Sucre,boliviano,Bs,"1. Sucre is the constitutional capital, whereas La Paz is the seat of the Government.
2. Please use the short name for lists and tables, i.e. Bolivia (Plurinational State of), in alphabetical lists, tables, in-text lists preceded by a colon and nameplates. For all other purposes, including in-text lists not preceded by a colon, please use the full name, i.e. the Plurinational State of Bolivia.",Bolivia (Plurinational State of)
158870,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","of Bonaire, Sint Eustatius and Saba",,United States dollar,$; US$,,"Bonaire, Sint Eustatius and Saba"
25401,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,of Bosnia and Herzegovina,Sarajevo,convertible mark,KM,,Bosnia and Herzegovina
15378,Botswana,Botswana,the Republic of Botswana,of Botswana,Gaborone,pula,P,,Botswana
79205,Bouvet Island,Bouvet Island,Bouvet Island,,,Norwegian krone,NKr,,Bouvet Island
52486,Brazil,Brazil,the Federative Republic of Brazil,Brazilian,Brasília,Brazilian real,R$,,Brazil
79206,British Indian Ocean Territory (the),British Indian Ocean Territory,the British Indian Ocean Territory,,,United States dollar,$; US$,The term is no longer in use. Please see Chagos Archipelago.,British Indian Ocean Territory
19018,British Virgin Islands (the),British Virgin Islands,the British Virgin Islands,of the British Virgin Islands,Road Town,United States dollar,$; US$,,British Virgin Islands
19014,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,of Brunei Darussalam,Bandar Seri Begawan,Brunei dollar,B$,,Brunei Darussalam
15380,Bulgaria,Bulgaria,the Republic of Bulgaria,Bulgarian,Sofia,Bulgarian lev,lev,,Bulgaria
15381,Burkina Faso,Burkina Faso,Burkina Faso,of Burkina Faso,Ouagadougou,CFA franc (BCEAO),CFAF,"CFA: Communauté Financière Africaine (African Financial Community).
BCEAO: Banque centrale des États de l'Afrique de l'Ouest (Central Bank of West African States).",Burkina Faso
15382,Burundi,Burundi,the Republic of Burundi,of Burundi; Burundian,Gitega,Burundi franc,F Bu,Capital city changed from Bujumbura to Gitega effective 1 April 2019.,Burundi
15386,Cabo Verde,Cabo Verde,the Republic of Cabo Verde,Cabo Verdean ,Praia,Cabo Verde escudo,CVEsc,"The former name ""Cape Verde"" was replaced by ""Cabo Verde"" on 25 October 2013. ",Cabo Verde
15383,Cambodia,Cambodia,the Kingdom of Cambodia,Cambodian,Phnom Penh,riel,CR,,Cambodia
15384,Cameroon,Cameroon,the Republic of Cameroon,Cameroonian,Yaoundé,CFA franc (BEAC),CFAF,CFA: Coopération Financière en Afrique Centrale (Central African Financial Cooperation). BEAC: Banque des États de l’Afrique Centrale (Bank of Central African States).,Cameroon
15385,Canada,Canada,Canada,Canadian,Ottawa,Canadian dollar,Can$,,Canada
79171,Canary Islands (the),Canary Islands,the Canary Islands,,Las Palmas de Gran Canaria,euro,EUR; €,,Canary Islands
79210,Canton and Enderbury Islands (the),Canton and Enderbury Islands,the Canton and Enderbury Islands,,,,,,Canton and Enderbury Islands
19015,Cayman Islands (the),Cayman Islands,the Cayman Islands,Caymanian,George Town,Cayman Islands dollar,$,,Cayman Islands
15387,Central African Republic (the),Central African Republic,the Central African Republic,of the Central African Republic; Central African,Bangui,CFA franc (BEAC),CFAF,CFA: Coopération Financière en Afrique Centrale (Central African Financial Cooperation). BEAC: Banque des États de l’Afrique Centrale (Bank of Central African States).,Central African Republic
15388,Chad,Chad,the Republic of Chad,Chadian,N'Djamena,CFA franc (BEAC),CFAF,CFA: Coopération Financière en Afrique Centrale (Central African Financial Cooperation). BEAC: Banque des États de l’Afrique Centrale (Bank of Central African States).,Chad
159019,Chagos Archipelago (the),Chagos Archipelago,the Chagos Archipelago,,,,,,Chagos Archipelago
79207,Channel Islands (the),Channel Islands,the Channel Islands,,,,,,Channel Islands
15389,Chile,Chile,the Republic of Chile,Chilean,Santiago,Chilean peso,Ch$,,Chile
15390,China,China,the People's Republic of China,Chinese,Beijing,renminbi (monetary unit: yuan),RMB; ¥,"FAOSTAT label of China has two concepts of interpretation (i.e. FAOSTAT Area Codes 41 and 351): Code 41 includes China Mainland and it is used for production statistics and similar domains. Code 351 includes: China Mainland; Taiwan Province of China; China, Hong Kong SAR and China, Macao SAR; this Code is used for trade statistics. (Source: ESS Division, FAO, November 2012).",China
79208,"China, Hong Kong SAR","China, Hong Kong SAR","China, Hong Kong Special Administrative Region",,,Hong Kong dollar,HK$,,"China, Hong Kong SAR"
79209,"China, Macao SAR","China, Macao SAR","China, Macao Special Administrative Region",,,pataca,MOP$,,"China, Macao SAR"
79211,Christmas Island,Christmas Island,Christmas Island,,,Australian dollar,$A,,Christmas Island
79172,Clipperton Island,Clipperton Island,Clipperton Island,,,,,,Clipperton Island
79212,Cocos (Keeling) Islands (the),Cocos (Keeling) Islands,the Cocos (Keeling) Islands,,,Australian dollar,$A,,Cocos (Keeling) Islands
15391,Colombia,Colombia,the Republic of Colombia,Colombian,Bogotá,Colombian peso,Col$,,Colombia
15392,Comoros (the),Comoros,the Union of the Comoros,Comorian,Moroni,Comorian franc,CF,,Comoros
