x,y,cell_area,ID_mrgd,name_merge
-35.5,89.5,105401648,165,Central Arctic
-34.5,89.5,105412288,165,Central Arctic
-33.5,89.5,105422888,165,Central Arctic
-32.5,89.5,105433448,165,Central Arctic
-31.5,89.5,105443976,165,Central Arctic
-30.5,89.5,105454472,165,Central Arctic
-29.5,89.5,105399928,165,Central Arctic
-28.5,89.5,105389016,165,Central Arctic
-27.5,89.5,105378072,165,Central Arctic
-26.5,89.5,105367072,165,Central Arctic
-25.5,89.5,105356056,165,Central Arctic
-24.5,89.5,105344992,165,Central Arctic
-23.5,89.5,105337936,165,Central Arctic
-22.5,89.5,105352672,165,Central Arctic
-21.5,89.5,105376888,165,Central Arctic
-20.5,89.5,105398976,165,Central Arctic
-19.5,89.5,105428368,165,Central Arctic
-18.5,89.5,105464680,165,Central Arctic
-17.5,89.5,105497448,165,Central Arctic
-16.5,89.5,105538048,165,Central Arctic
-15.5,89.5,105588344,165,Central Arctic
-14.5,89.5,105663632,165,Central Arctic
-13.5,89.5,105748840,165,Central Arctic
-12.5,89.5,105830168,165,Central Arctic
-11.5,89.5,105907616,165,Central Arctic
-10.5,89.5,105983904,165,Central Arctic
-9.5,89.5,106078232,165,Central Arctic
-8.5,89.5,106175368,165,Central Arctic
-7.5,89.5,106272304,165,Central Arctic
-6.5,89.5,106366208,165,Central Arctic
-5.5,89.5,106455992,165,Central Arctic
-4.5,89.5,106541680,165,Central Arctic
-3.5,89.5,106623856,165,Central Arctic
-2.5,89.5,106711600,165,Central Arctic
-1.5,89.5,106818888,165,Central Arctic
-0.5,89.5,106935616,165,Central Arctic
0.5,89.5,107051584,165,Central Arctic
1.5,89.5,107166784,165,Central Arctic
2.5,89.5,107280176,165,Central Arctic
3.5,89.5,107390056,165,Central Arctic
4.5,89.5,107501784,165,Central Arctic
5.5,89.5,107614696,165,Central Arctic
6.5,89.5,107725048,165,Central Arctic
7.5,89.5,107834704,165,Central Arctic
8.5,89.5,107941784,165,Central Arctic
9.5,89.5,108041056,165,Central Arctic
10.5,89.5,108139400,165,Central Arctic
11.5,89.5,108236552,165,Central Arctic
12.5,89.5,108330240,165,Central Arctic
13.5,89.5,108425096,165,Central Arctic
14.5,89.5,108520080,165,Central Arctic
15.5,89.5,108614976,165,Central Arctic
16.5,89.5,108704744,165,Central Arctic
17.5,89.5,108756504,165,Central Arctic
18.5,89.5,108800816,165,Central Arctic
19.5,89.5,108845688,165,Central Arctic
20.5,89.5,108890728,165,Central Arctic
21.5,89.5,108930088,165,Central Arctic
22.5,89.5,108966376,165,Central Arctic
23.5,89.5,108997912,165,Central Arctic
24.5,89.5,109026848,165,Central Arctic
