#
# national population in 10^6 people
# (commas in the country name have been replaced by ;)
#
iso,country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ABW,Aruba,0.10433900000000002,0.10486500000000001,0.105361,0.10584600000000001,0.10630999999999999,0.10676600000000001,0.107195,0.10720666666666676,0.1072183333333335,0.10723000000000024,0.107241666666667,0.1072933333333336,0.1073450000000002,0.10739666666666679,0.1074483333333334,0.1075,0.10758,0.10765999999999999,0.10774,0.10782,0.1079,0.10796,0.10802,0.10808,0.10814,0.1082,0.10802,0.10784,0.10766,0.10748,0.1073,0.10716,0.10702,0.10688,0.10674,0.1066,0.10636,0.10611999999999999,0.10588,0.10564,0.1054,0.10524,0.10507999999999999,0.10492,0.10475999999999999,0.1046,0.10446,0.10432,0.10418000000000001,0.10404000000000001,0.1039,0.10374,0.10358,0.10342,0.10326,0.1031,0.10302,0.10294,0.10286,0.10278,0.1027,0.10262,0.10254,0.10246,0.10238,0.1023,0.10224,0.10217999999999999,0.10212,0.10206,0.102,0.10185999999999999,0.10171999999999999,0.10158,0.10144,0.1013,0.1011,0.1009,0.1007,0.1005,0.1003,0.1,0.0997,0.0994,0.0991,0.0988
AFG,Afghanistan,34.413603,35.383028,36.296110999999996,37.171921999999995,38.041757000000004,38.928340999999996,39.835428,40.65178044444445,41.4681328888889,42.28448533333335,43.1008377777778,43.89169022222224,44.68254266666668,45.473395111111124,46.26424755555556,47.0551,47.874860000000005,48.69462,49.51438,50.33414,51.1539,51.90628,52.65866,53.41104,54.163419999999995,54.9158,55.5743,56.2328,56.8913,57.5498,58.2083,58.767900000000004,59.3275,59.887100000000004,60.4467,61.0063,61.45628,61.90626,62.35624,62.80622,63.2562,63.60424,63.952279999999995,64.30032,64.64836,64.9964,65.24546,65.49452,65.74358,65.99264,66.2417,66.39063999999999,66.53958,66.68852,66.83746000000001,66.9864,67.03328,67.08016,67.12704,67.17392,67.2208,67.14868,67.07656,67.00444,66.93232,66.8602,66.67362,66.48704000000001,66.30046,66.11388000000001,65.9273,65.63284,65.33838,65.04392,64.74946,64.455,64.06362,63.67224,63.28086,62.88948,62.4981,62.02626,61.55442,61.08258,60.61074,60.1389
AGO,Angola,27.88438,28.842482,29.816769,30.809787,31.825298999999998,32.866268,33.933611,34.33756533333332,34.74151966666665,35.14547399999997,35.549428333333296,35.83198266666664,36.11453699999998,36.39709133333332,36.67964566666666,36.9622,37.36918,37.776160000000004,38.18314,38.590120000000006,38.9971,39.36838,39.73966,40.11094,40.48222,40.8535,41.1903,41.5271,41.8639,42.2007,42.5375,42.82284,43.10818,43.39352,43.67886,43.9642,44.17776,44.39132,44.604879999999994,44.818439999999995,45.032,45.16388,45.29576,45.42764,45.55952,45.6914,45.7498,45.8082,45.866600000000005,45.925000000000004,45.9834,45.98494,45.98648,45.988020000000006,45.989560000000004,45.9911,45.92982,45.86854,45.80726,45.74598,45.6847,45.56318,45.44166,45.32014,45.19862,45.0771,44.8872,44.6973,44.507400000000004,44.3175,44.1276,43.863820000000004,43.60004,43.33626,43.07248,42.8087,42.47392,42.13914,41.80436,41.46958,41.1348,40.74358,40.35236,39.96114,39.569919999999996,39.1787
AIA,Anguilla,0.014279,0.014435,0.014588,0.014738,0.014872,0.015002000000000001,0.015125,0.01522444444444445,0.0153238888888889,0.01542333333333335,0.0155227777777778,0.01560162222222224,0.015680466666666677,0.01575931111111112,0.01583815555555556,0.015916999999999997,0.015978999999999997,0.016041,0.016103,0.016165000000000002,0.016227000000000002,0.016270800000000002,0.016314600000000002,0.016358400000000002,0.016402200000000002,0.016446000000000002,0.016466,0.016486,0.016506000000000003,0.016526000000000002,0.016546,0.016541200000000002,0.0165364,0.0165316,0.016526799999999998,0.016522,0.0164944,0.0164668,0.016439199999999998,0.0164116,0.016384,0.016342199999999998,0.0163004,0.016258599999999998,0.0162168,0.016175,0.0161216,0.0160682,0.0160148,0.0159614,0.015908000000000002,0.0158462,0.0157844,0.015722600000000003,0.015660800000000002,0.015599000000000002,0.015533400000000001,0.015467800000000002,0.015402200000000001,0.015336600000000002,0.015271000000000002,0.015201000000000001,0.015131,0.015061000000000001,0.014991,0.014921,0.0148508,0.0147806,0.0147104,0.014640199999999999,0.01457,0.0145066,0.0144432,0.0143798,0.0143164,0.014253,0.014191,0.014129000000000001,0.014067,0.014005,0.013943,0.0138814,0.0138198,0.0137582,0.0136966,0.013635
ALA,Åland Islands,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996,0.027870999999999996
ALB,Albania,2.890524,2.886427,2.884169,2.882735,2.880913,2.8778,2.872934,2.8563857777777772,2.8398375555555546,2.8232893333333324,2.80674111111111,2.7860128888888878,2.7652846666666657,2.744556444444444,2.723828222222222,2.7031,2.68026,2.65742,2.63458,2.61174,2.5889,2.5632200000000003,2.5375400000000004,2.51186,2.48618,2.4605,2.43258,2.4046600000000002,2.37674,2.34882,2.3209,2.29162,2.26234,2.23306,2.20378,2.1745,2.14394,2.1133800000000003,2.08282,2.05226,2.0217,1.9910400000000001,1.96038,1.92972,1.89906,1.8684,1.8382800000000001,1.80816,1.77804,1.74792,1.7178,1.68824,1.65868,1.6291200000000001,1.59956,1.57,1.54148,1.51296,1.48444,1.45592,1.4274,1.39988,1.37236,1.34484,1.31732,1.2898,1.26338,1.23696,1.21054,1.18412,1.1577,1.13256,1.10742,1.08228,1.05714,1.032,1.0087,0.9854,0.9621,0.9388,0.9155,0.8936999999999999,0.8719,0.8501,0.8283,0.8065
AND,Andorra,0.07799299999999999,0.077295,0.076997,0.07700800000000001,0.077146,0.077265,0.07735399999999999,0.077457,0.07755999999999999,0.077663,0.077766,0.0777982,0.0778304,0.0778626,0.0778948,0.077927,0.0779364,0.0779458,0.0779552,0.0779646,0.077974,0.0779512,0.0779284,0.0779056,0.0778828,0.07786,0.0777516,0.0776432,0.0775348,0.07742639999999999,0.077318,0.077079,0.07683999999999999,0.076601,0.076362,0.076123,0.0757398,0.0753566,0.07497340000000001,0.07459020000000001,0.07420700000000001,0.07372240000000001,0.0732378,0.0727532,0.0722686,0.071784,0.0712718,0.0707596,0.0702474,0.06973520000000001,0.069223,0.06876560000000001,0.0683082,0.0678508,0.06739339999999999,0.066936,0.0665832,0.0662304,0.06587760000000001,0.06552480000000001,0.06517200000000001,0.06494660000000001,0.0647212,0.0644958,0.0642704,0.064045,0.06392,0.063795,0.06367,0.063545,0.06342,0.0633484,0.06327680000000001,0.0632052,0.06313360000000001,0.063062,0.0629982,0.0629344,0.0628706,0.0628068,0.062743,0.0626756,0.06260819999999999,0.0625408,0.0624734,0.062405999999999996
ARE,United Arab Emirates,9.262896000000001,9.360975,9.487206,9.630966,9.770526,9.8904,9.991083,10.188762666666674,10.386442333333349,10.584122000000024,10.781801666666698,10.972181333333358,11.16256100000002,11.35294066666668,11.543320333333341,11.7337,11.89254,12.05138,12.210220000000001,12.369060000000001,12.5279,12.679820000000001,12.83174,12.98366,13.13558,13.2875,13.42402,13.56054,13.69706,13.83358,13.9701,14.08398,14.19786,14.31174,14.42562,14.5395,14.62922,14.71894,14.80866,14.89838,14.9881,15.054179999999999,15.12026,15.18634,15.25242,15.3185,15.36128,15.404060000000001,15.44684,15.48962,15.5324,15.5519,15.5714,15.5909,15.6104,15.6299,15.62876,15.62762,15.626479999999999,15.62534,15.6242,15.60934,15.594479999999999,15.57962,15.56476,15.5499,15.532919999999999,15.515939999999999,15.49896,15.48198,15.465,15.45722,15.44944,15.44166,15.43388,15.4261,15.43562,15.44514,15.454659999999999,15.464179999999999,15.4737,15.50002,15.52634,15.55266,15.57898,15.6053
ARG,Argentina,43.075416,43.508459,43.937143,44.36115,44.780675,45.195777,45.605823,45.9259871111111,46.246151222222196,46.5663153333333,46.8864794444444,47.17092355555552,47.45536766666664,47.73981177777776,48.02425588888888,48.3087,48.56902,48.82934,49.08966,49.34998,49.6103,49.84594,50.08158,50.31722,50.55286,50.7885,50.99362,51.19874,51.40386,51.60898,51.8141,51.981120000000004,52.148140000000005,52.31516,52.48218,52.6492,52.77308,52.89696,53.02084,53.14472,53.2686,53.34916,53.429719999999996,53.51028,53.59084,53.6714,53.7103,53.7492,53.7881,53.827000000000005,53.8659,53.867200000000004,53.868500000000004,53.8698,53.8711,53.8724,53.83762,53.80284,53.76806,53.73328,53.6985,53.629780000000004,53.561060000000005,53.49234,53.42362,53.3549,53.25718,53.15946,53.06174,52.964020000000005,52.8663,52.74478,52.62326,52.50174,52.38022,52.2587,52.114439999999995,51.97018,51.825919999999996,51.68166,51.5374,51.37356,51.20972,51.045880000000004,50.88204,50.7182
ARM,Armenia,2.925559,2.936147,2.944789,2.951741,2.957728,2.963234,2.968128,2.945980444444445,2.9238328888888896,2.901685333333335,2.8795377777777795,2.8535702222222237,2.827602666666668,2.8016351111111115,2.7756675555555557,2.7497,2.7329999999999997,2.7163,2.6995999999999998,2.6829,2.6662,2.6496399999999998,2.63308,2.61652,2.5999600000000003,2.5834,2.5663,2.5492,2.5321000000000002,2.515,2.4979,2.47924,2.4605799999999998,2.44192,2.42326,2.4046,2.38422,2.36384,2.34346,2.32308,2.3027,2.28168,2.26066,2.23964,2.21862,2.1976,2.17696,2.15632,2.13568,2.11504,2.0944,2.07428,2.05416,2.03404,2.01392,1.9938,1.97384,1.95388,1.93392,1.91396,1.8940000000000001,1.87362,1.85324,1.8328600000000002,1.81248,1.7921,1.77148,1.75086,1.73024,1.7096200000000001,1.689,1.66924,1.64948,1.62972,1.60996,1.5902,1.57238,1.5545600000000002,1.53674,1.51892,1.5011,1.486,1.4709,1.4558,1.4407,1.4256
