fa_ffcl_shrt,scenario,decade,contnnt,spatial_scale,mean,median,sd,min,max,n_model,agreement,wilcox_p,SD > mean,Loss,,,,,,,,,,,
Indonesia,ssp585,2041-2050,Asia,countries,-12.35760968,-10.16997239,6.312274928,-23.06526196,-2.843208294,10,100,0.009496109,FALSE,1,,,,,,,,,,,
Colombia (Serrana),ssp585,2091-2100,Americas,countries,-12.35291364,-17.36844176,20.7601735,-40.58638638,18.38745338,10,60,0.000477924,,,,,,,,,,,,,
Sudan,ssp126,2091-2100,Africa,countries,-12.26474776,-10.16498995,5.069438875,-19.77154526,-8.957465876,4,100,4.01E-18,,,,,,,,,,,,,
Nicaragua,ssp585,2041-2050,Americas,countries,-12.24637513,-8.02530086,12.89386852,-39.3800167,0.048002118,10,90,0.671618344,,,,,,,,,,,,,
Sierra Leone,ssp585,2041-2050,Africa,countries,-12.20102014,-11.88669554,5.826248119,-21.05242235,-1.618169544,10,100,0.056196537,,,,,,,,,,,,,
Namibia,ssp126,2041-2050,Africa,countries,-12.18589399,-10.5830207,12.41613601,-36.91623179,-0.001160955,10,100,0.000217246,,,,,,,,,,,,,
United States of America (Hawaii),ssp126,2041-2050,Americas,countries,-12.14842974,-10.46181963,5.517654533,-25.02676969,-6.750843714,10,100,0.098838835,,,,,,,,,,,,,
Eritrea,ssp585,2041-2050,Africa,countries,-12.11500664,-8.693585023,10.91198978,-41.13461166,-2.460205436,10,100,0.135780716,,,,,,,,,,,,,
Bassas da India,ssp585,2091-2100,Africa,countries,-12.09701452,-5.018716564,26.18009032,-58.27750618,32.43899129,10,60,0.009908766,,,,,,,,,,,,,
Bonaire,ssp585,2041-2050,Americas,countries,-11.93614471,-13.25684929,7.286418404,-21.02915446,-0.497038881,10,100,0.258447842,,,,,,,,,,,,,
Nicaragua,ssp126,2041-2050,Americas,countries,-11.90980822,-5.610400744,16.55275218,-46.30830443,4.036300873,10,70,0.671618344,,,,,,,,,,,,,
Guinea,ssp585,2041-2050,Africa,countries,-11.89375778,-11.22110565,6.956679406,-21.28719508,1.628655022,10,90,0.009229588,,,,,,,,,,,,,
Ecuador,ssp585,2041-2050,Americas,countries,-11.89080961,-10.31612962,10.05567429,-35.96141532,-0.125270347,10,100,0.006048372,,,,,,,,,,,,,
Myanmar,ssp585,2091-2100,Asia,countries,-11.71339789,-11.35158893,7.880401187,-23.52878842,2.347102817,10,90,2.32E-12,FALSE,,,,,,,,,,,,
Republic of Korea,ssp585,2041-2050,Asia,countries,-11.69396799,-11.97873457,8.212652537,-27.56604362,1.992706913,10,90,0.04394929,FALSE,1,,,,,,,,,,,
United States of America (Alaska),ssp126,2091-2100,Americas,countries,-11.62238581,-11.90713763,4.385962869,-18.51154615,-5.202673827,10,100,1.65E-19,,,,,,,,,,,,,
Bangladesh,ssp585,2091-2100,Asia,countries,-11.6089956,-11.65814351,8.478636946,-24.77365228,5.183327022,10,90,1.70E-18,FALSE,,,,,,,,,,,,
Viet Nam,ssp585,2041-2050,Asia,countries,-11.59430115,-11.84963788,4.173096588,-17.15014743,-4.493006723,10,100,0.058112531,FALSE,1,,,,,,,,,,,
Maldives,ssp126,2091-2100,Asia,countries,-11.52295466,-10.34202378,5.258151133,-23.20608733,-3.839879796,10,100,1.09E-09,FALSE,,,,,,,,,,,,
Barbados,ssp585,2041-2050,Americas,countries,-11.39748121,-12.77275267,6.42690439,-17.77045433,0.635912053,10,90,0.199997927,,,,,,,,,,,,,
Togo,ssp126,2041-2050,Africa,countries,-11.37685549,-11.40038496,5.533493386,-21.90624146,-4.026950413,10,100,3.74E-05,,,,,,,,,,,,,
Nigeria,ssp585,2041-2050,Africa,countries,-11.29793823,-13.46765704,9.305608499,-21.53220946,11.65135877,10,90,7.74E-07,,,,,,,,,,,,,
United States of America (Hawaii),ssp126,2091-2100,Americas,countries,-11.22288564,-10.92070154,4.726995262,-19.78730752,-3.716233984,10,100,1.24E-08,,,,,,,,,,,,,
Saint Lucia,ssp585,2041-2050,Americas,countries,-11.20040874,-12.94622524,5.823325175,-16.32649923,-0.427534852,10,100,0.244806539,,,,,,,,,,,,,
Ghana,ssp126,2041-2050,Africa,countries,-11.19866465,-11.72856511,4.070701916,-18.74033372,-4.936841844,10,100,8.69E-08,,,,,,,,,,,,,
Taiwan Province of China,ssp126,2091-2100,Asia,countries,-11.18691178,-10.42296826,4.078546698,-21.24256142,-6.663565168,10,100,5.12E-29,FALSE,,,,,,,,,,,,
China,ssp126,2041-2050,Asia,countries,-11.17602689,-10.43313286,3.435692808,-19.12278674,-6.768198537,10,100,0.555138078,FALSE,1,,,,,,,,,,,
Bermuda,ssp585,2041-2050,Americas,countries,-11.13694071,-11.09528952,13.55749007,-30.34699112,10.24395962,10,80,0.00042807,,,,,,,,,,,,,
Pakistan,ssp585,2041-2050,Asia,countries,-11.12751901,-12.13202919,5.639165595,-18.06180111,0.10083176,10,90,0.014016996,FALSE,1,,,,,,,,,,,
Guinea-Bissau,ssp126,2041-2050,Africa,countries,-11.12402362,-10.58193453,7.016795253,-20.79523519,1.723419266,10,90,0.070780043,,,,,,,,,,,,,
Barbados,ssp585,2091-2100,Americas,countries,-11.1190797,-8.508785597,13.26838524,-25.88942224,16.72803586,10,90,0.000345779,,,,,,,,,,,,,
Oman,ssp126,2041-2050,Asia,countries,-11.0637118,-10.71830668,7.687312696,-21.05235741,1.318311735,10,90,0.080421656,FALSE,1,,,,,,,,,,,
Saint Lucia,ssp585,2091-2100,Americas,countries,-10.96355064,-12.10134008,14.51281876,-28.43098652,21.74154483,10,90,7.38E-06,,,,,,,,,,,,,
Bonaire,ssp126,2091-2100,Americas,countries,-10.92315225,-12.02689012,11.57655726,-28.60378598,2.884829466,10,70,4.02E-05,,,,,,,,,,,,,
Ecuador,ssp126,2091-2100,Americas,countries,-10.9019639,-7.457801421,8.48675048,-25.68009071,-1.063273847,10,100,1.39E-23,,,,,,,,,,,,,
China,ssp585,2041-2050,Asia,countries,-10.80663481,-10.40196449,4.728979303,-18.39905384,-3.623462131,10,100,0.555138078,FALSE,1,,,,,,,,,,,
Nicaragua,ssp126,2091-2100,Americas,countries,-10.76276809,-6.936485926,11.48103517,-29.67597594,1.16728124,10,80,8.52E-09,,,,,,,,,,,,,
Côte d'Ivoire,ssp126,2041-2050,Africa,countries,-10.65493682,-11.08451352,4.263319054,-15.61868665,-4.185906566,10,100,8.56E-07,,,,,,,,,,,,,
Panama,ssp126,2091-2100,Americas,countries,-10.64599703,-8.244103232,10.05417246,-27.16578689,1.519469726,10,90,0.000432032,,,,,,,,,,,,,
Sri Lanka,ssp126,2041-2050,Asia,countries,-10.56148741,-9.459552216,5.853442252,-23.82381893,-2.455171749,10,100,0.037030067,FALSE,1,,,,,,,,,,,
Curaçao,ssp585,2041-2050,Americas,countries,-10.5610438,-12.30362085,6.273875371,-17.48858822,-1.87232881,10,100,0.215873143,,,,,,,,,,,,,
Dominica,ssp585,2091-2100,Americas,countries,-10.45928061,-4.768664745,12.60242052,-28.65152189,2.453988244,10,70,8.15E-05,,,,,,,,,,,,,
Democratic People's Republic of Korea,ssp585,2041-2050,Asia,countries,-10.4193447,-8.395938557,10.44636165,-25.29256206,2.854502091,10,80,0.031060974,TRUE,1,,,,,,,,,,,
Oman,ssp126,2091-2100,Asia,countries,-10.41434023,-10.90206875,8.267649658,-25.12667612,1.444270187,10,90,1.18E-21,FALSE,,,,,,,,,,,,
Brunei Darussalam,ssp585,2041-2050,Asia,countries,-10.26706013,-11.77001822,4.691336197,-14.48301771,0.619811624,10,90,0.000444127,FALSE,1,,,,,,,,,,,
Martinique,ssp585,2091-2100,Americas,countries,-10.23259547,-6.146741278,11.53127047,-26.30294884,7.356317106,10,90,1.64E-05,,,,,,,,,,,,,
Viet Nam,ssp126,2041-2050,Asia,countries,-10.14178779,-10.26110264,4.107344738,-16.50369591,-5.126411024,10,100,0.058112531,FALSE,1,,,,,,,,,,,
Dominica,ssp126,2041-2050,Americas,countries,-10.10703093,-8.803472994,8.330668397,-27.7421208,0.085471137,10,90,0.474799018,,,,,,,,,,,,,
Mozambique,ssp585,2091-2100,Africa,countries,-10.10176201,-12.41314514,23.52982468,-44.08320765,28.18564437,10,60,0.005050599,,,,,,,,,,,,,
Mauritania,ssp585,2041-2050,Africa,countries,-10.09061843,-9.507173293,6.072948703,-20.81099474,0.468407812,10,90,0.470281311,,,,,,,,,,,,,
Martinique,ssp585,2041-2050,Americas,countries,-10.06139947,-11.78716543,6.090883245,-16.11825625,2.234320728,10,90,0.775908619,,,,,,,,,,,,,
Sierra Leone,ssp126,2041-2050,Africa,countries,-10.05195275,-8.522346825,6.738785962,-20.55594113,-0.1369951,10,100,0.056196537,,,,,,,,,,,,,
Peru,ssp585,2041-2050,Americas,countries,-10.04077258,-8.879644973,7.129082516,-23.13078423,0.215132312,10,90,0.008592267,,,,,,,,,,,,,
Eritrea,ssp126,2041-2050,Africa,countries,-10.01846634,-7.931018197,9.557519395,-34.40859465,1.34217209,10,90,0.135780716,,,,,,,,,,,,,
Pakistan,ssp126,2091-2100,Asia,countries,-10.00502927,-9.93346613,6.316770507,-19.54585591,-0.383810403,10,100,1.29E-09,FALSE,,,,,,,,,,,,
Bonaire,ssp126,2041-2050,Americas,countries,-9.900258796,-9.939362403,12.24306971,-29.10194464,7.270939154,10,70,0.258447842,,,,,,,,,,,,,
Costa Rica,ssp585,2041-2050,Americas,countries,-9.83630419,-6.250733247,14.37277811,-42.44920466,7.335444888,10,80,0.224142681,,,,,,,,,,,,,
Equatorial Guinea,ssp126,2041-2050,Africa,countries,-9.833732659,-8.75357797,5.645590882,-20.25094628,-3.201686399,10,100,1.20E-07,,,,,,,,,,,,,
Jordan,ssp585,2041-2050,Asia,countries,-9.798160394,-9.551571863,3.08627788,-13.00033542,-6.842573901,3,100,0.1590531,FALSE,1,,,,,,,,,,,
Japan,ssp585,2041-2050,Asia,countries,-9.76314361,-9.261703585,5.479918482,-18.12397868,0.530214086,10,90,0.1841841,FALSE,1,,,,,,,,,,,
Chile (Easter Island),ssp585,2091-2100,Americas,countries,-9.7594867,-1.362168175,26.41206188,-45.14976832,24.36383185,10,70,0.002663269,,,,,,,,,,,,,
Saint Pierre and Miquelon,ssp126,2091-2100,Americas,countries,-9.749940512,-9.983782003,4.403645035,-18.31840746,-2.026844233,10,100,2.28E-21,,,,,,,,,,,,,
Saint Lucia,ssp126,2041-2050,Americas,countries,-9.748953466,-11.98798779,5.54066258,-16.9466232,-0.371326859,10,100,0.244806539,,,,,,,,,,,,,
Bassas da India,ssp585,2041-2050,Africa,countries,-9.740384036,-2.897919149,16.07367904,-50.31134789,7.827927126,10,90,0.511792008,,,,,,,,,,,,,
Madagascar,ssp585,2091-2100,Africa,countries,-9.731657778,-7.306726852,23.36478249,-50.01575709,30.38534736,10,60,0.000187924,,,,,,,,,,,,,
Liberia,ssp126,2091-2100,Africa,countries,-9.726915756,-8.271005279,3.964658553,-17.03822254,-5.514387831,10,100,9.45E-30,,,,,,,,,,,,,
Guadeloupe,ssp585,2091-2100,Americas,countries,-9.696158298,-7.454226927,11.66889757,-29.97830568,9.625082292,10,90,7.65E-07,,,,,,,,,,,,,
Martinique,ssp126,2041-2050,Americas,countries,-9.681574311,-9.360735168,5.607701369,-19.59288476,-0.562465724,10,100,0.775908619,,,,,,,,,,,,,
Algeria,ssp126,2091-2100,Africa,countries,-9.670284094,-9.636867753,5.477488968,-18.69540549,0.655376956,10,90,0.003515755,,,,,,,,,,,,,
Guyana,ssp585,2041-2050,Americas,countries,-9.658459594,-13.65118554,10.13466944,-18.2881513,15.86454314,10,90,0.015512967,,,,,,,,,,,,,
Malaysia,ssp585,2041-2050,Asia,countries,-9.63272752,-9.274564988,3.346367759,-14.82158256,-5.371176319,10,100,0.147698755,FALSE,1,,,,,,,,,,,
Barbados,ssp126,2041-2050,Americas,countries,-9.588502166,-10.1719715,5.175255318,-18.61480953,-0.577272692,10,100,0.199997927,,,,,,,,,,,,,
Yemen,ssp585,2041-2050,Asia,countries,-9.510518289,-9.795556138,4.450007646,-18.53838322,-1.044940835,10,100,0.002885188,FALSE,1,,,,,,,,,,,
Maldives,ssp585,2041-2050,Asia,countries,-9.476966754,-9.293956203,5.911170079,-18.76333497,2.493512103,10,90,0.213166071,FALSE,1,,,,,,,,,,,
Grenada,ssp585,2091-2100,Americas,countries,-9.459935437,-7.858825291,22.75381413,-35.38121044,44.35978186,10,90,6.58E-06,,,,,,,,,,,,,
Democratic Republic of the Congo,ssp126,2041-2050,Africa,countries,-9.415295435,-8.793921835,4.866260687,-17.04235104,-2.687331778,10,100,4.65E-06,,,,,,,,,,,,,
Trinidad and Tobago,ssp585,2091-2100,Americas,countries,-9.413140776,-15.61383015,39.56511651,-38.61106275,98.68680288,10,90,1.03E-06,,,,,,,,,,,,,
Ecuador (Galapagos),ssp126,2091-2100,Americas,countries,-9.404415969,-9.686128816,5.998994526,-19.14777423,-0.678087331,10,100,6.27E-24,,,,,,,,,,,,,
Chagos Archipelago,ssp126,2041-2050,Asia,countries,-9.392245502,-8.600817611,6.324586482,-25.06732159,-3.327920531,10,100,0.001037153,FALSE,1,,,,,,,,,,,
Honduras,ssp585,2091-2100,Americas,countries,-9.355200911,-12.51332757,21.44832837,-40.71152296,20.08501289,10,60,0.048491401,,,,,,,,,,,,,
Cayman Islands,ssp126,2041-2050,Americas,countries,-9.341903261,-9.709885042,7.072175679,-20.04329438,1.946172695,10,90,0.977583214,,,,,,,,,,,,,
India,ssp126,2091-2100,Asia,countries,-9.334120298,-9.394450871,3.799356822,-18.91430307,-6.059361505,10,100,2.36E-18,FALSE,,,,,,,,,,,,
Chile,ssp126,2091-2100,Americas,countries,-9.317233128,-7.974070035,5.317223283,-21.40582872,-4.293004379,10,100,1.72E-11,,,,,,,,,,,,,
United States of America (Alaska),ssp126,2041-2050,Americas,countries,-9.312637479,-9.096296596,4.492019602,-19.72538844,-3.61412796,10,100,0.01124422,,,,,,,,,,,,,
Cameroon,ssp585,2041-2050,Africa,countries,-9.301821233,-9.346327853,8.556530967,-19.65219517,7.738092805,8,87.5,4.71E-05,,,,,,,,,,,,,
Saint Vincent and the Grenadines,ssp585,2091-2100,Americas,countries,-9.241466393,-9.742420062,18.17263581,-31.66416377,33.99666613,10,90,2.92E-05,,,,,,,,,,,,,
Namibia,ssp126,2091-2100,Africa,countries,-9.232924232,-8.359167059,15.44950431,-41.96593585,8.581934963,10,60,1.80E-15,,,,,,,,,,,,,
Trinidad and Tobago,ssp585,2041-2050,Americas,countries,-9.232254765,-13.38276202,12.86628787,-22.26181882,22.91983412,10,90,0.238424005,,,,,,,,,,,,,
Mexico,ssp126,2091-2100,Americas,countries,-9.133965917,-8.779452239,4.011179494,-15.8291303,-4.319673864,10,100,2.58E-12,,,,,,,,,,,,,
Saint Vincent and the Grenadines,ssp585,2041-2050,Americas,countries,-9.064021524,-10.95989,5.733465855,-15.40636382,-0.31990245,10,100,0.439325577,,,,,,,,,,,,,
Indonesia,ssp126,2091-2100,Asia,countries,-9.051895679,-6.944876962,5.701452833,-18.70454991,-1.275001243,10,100,2.56E-17,FALSE,,,,,,,,,,,,
Uruguay,ssp126,2091-2100,Americas,countries,-9.049945261,-8.551593918,8.124732271,-25.78559431,0.513449339,10,80,1.37E-18,,,,,,,,,,,,,
Uruguay,ssp585,2041-2050,Americas,countries,-9.04682826,-9.017201129,7.926901799,-21.96916441,5.720613558,10,90,9.68E-05,,,,,,,,,,,,,
Panama,ssp126,2041-2050,Americas,countries,-9.031780473,-8.028975035,13.29040572,-35.71260928,5.770293357,10,70,0.694937104,,,,,,,,,,,,,
Brazil (Trindade),ssp126,2041-2050,Americas,countries,-9.005783594,-7.637351586,6.164210588,-20.93653775,0.007359122,10,90,2.37E-06,,,,,,,,,,,,,
Gabon,ssp126,2041-2050,Africa,countries,-8.946606907,-7.874179994,4.312750096,-17.0806859,-2.534112973,10,100,3.09E-07,,,,,,,,,,,,,
Ecuador (Galapagos),ssp585,2041-2050,Americas,countries,-8.939719551,-10.24823292,6.399670856,-18.47709038,1.188381509,10,90,0.608728017,,,,,,,,,,,,,
Cayman Islands,ssp585,2041-2050,Americas,countries,-8.901458473,-9.929686588,5.361299711,-16.51517133,0.232300352,10,90,0.977583214,,,,,,,,,,,,,
Comoros,ssp585,2091-2100,Africa,countries,-8.797567042,-3.979139081,23.94725252,-59.2807993,25.15323271,10,60,0.002885188,,,,,,,,,,,,,
Republic of Korea,ssp126,2041-2050,Asia,countries,-8.791888787,-9.054481601,5.993465081,-19.55943492,3.102396458,10,90,0.04394929,FALSE,1,,,,,,,,,,,
Venezuela (Bolivarian Republic of),ssp585,2041-2050,Americas,countries,-8.789415044,-7.173468601,7.694858054,-20.03063828,2.061718158,10,90,0.304210958,,,,,,,,,,,,,
Dominica,ssp585,2041-2050,Americas,countries,-8.774836592,-10.0096633,7.852181902,-18.06923812,8.507313706,10,90,0.474799018,,,,,,,,,,,,,
Mauritania,ssp126,2041-2050,Africa,countries,-8.760349443,-8.865977771,5.90476121,-19.97516971,1.256852246,10,90,0.470281311,,,,,,,,,,,,,
Sao Tome and Principe,ssp126,2041-2050,Africa,countries,-8.745099717,-8.222718359,5.137705309,-16.75761893,-1.096212604,10,100,3.25E-05,,,,,,,,,,,,,
China,ssp126,2091-2100,Asia,countries,-8.712035832,-7.403313417,4.185035865,-17.05050178,-3.180044135,10,100,3.28E-25,FALSE,,,,,,,,,,,,
Morocco,ssp126,2091-2100,Africa,countries,-8.701540203,-5.488909118,9.995001975,-24.51140383,7.251467721,10,80,0.000124373,,,,,,,,,,,,,
Indonesia,ssp126,2041-2050,Asia,countries,-8.668183615,-7.407978743,6.584346057,-20.08206871,1.340850406,10,90,0.009496109,FALSE,1,,,,,,,,,,,
Senegal,ssp126,2091-2100,Africa,countries,-8.66443394,-6.302105878,7.838145342,-27.26720516,0.015610421,10,90,6.64E-28,,,,,,,,,,,,,
Mexico,ssp585,2041-2050,Americas,countries,-8.661307586,-9.146511587,4.124995887,-14.74167559,-2.406828207,10,100,0.07507452,,,,,,,,,,,,,
Trinidad and Tobago,ssp126,2041-2050,Americas,countries,-8.65783575,-8.427196535,9.901841382,-22.38451626,10.30011241,10,90,0.238424005,,,,,,,,,,,,,
India,ssp585,2041-2050,Asia,countries,-8.654891067,-9.115475366,2.521578821,-11.03474145,-2.136567316,10,100,0.019947819,FALSE,1,,,,,,,,,,,
Saint Helena,ssp126,2041-2050,Africa,countries,-8.653115744,-7.834376312,4.522801208,-16.39347568,-3.917357519,10,100,2.14E-05,,,,,,,,,,,,,
Brunei Darussalam,ssp126,2091-2100,Asia,countries,-8.643084157,-8.837533885,2.308174006,-11.24166842,-4.218581486,10,100,2.05E-27,FALSE,,,,,,,,,,,,
Malaysia,ssp126,2041-2050,Asia,countries,-8.579470009,-8.106530824,3.425949121,-16.63328629,-4.316925233,10,100,0.147698755,FALSE,1,,,,,,,,,,,
Colombia,ssp126,2091-2100,Americas,countries,-8.484011162,-6.270588707,9.531225601,-26.13205878,1.571133418,10,70,0.000294739,,,,,,,,,,,,,
Viet Nam,ssp126,2091-2100,Asia,countries,-8.4187454,-6.965264314,4.942922715,-16.50319069,-1.722824879,10,100,9.43E-21,FALSE,,,,,,,,,,,,
Iraq,ssp126,2041-2050,Asia,countries,-8.417916054,-6.960653795,3.984990852,-12.92642048,-5.36667389,3,100,0.010043807,FALSE,1,,,,,,,,,,,
Aruba,ssp585,2041-2050,Americas,countries,-8.363238552,-10.4952683,8.451638912,-18.98617002,2.788557509,10,70,0.692231072,,,,,,,,,,,,,
Panama,ssp585,2041-2050,Americas,countries,-8.327916679,-5.471520889,10.92178787,-30.97368913,3.558000967,10,70,0.694937104,,,,,,,,,,,,,
Peru,ssp126,2091-2100,Americas,countries,-8.269621059,-6.205311188,6.538418161,-18.80178443,-0.628029216,10,100,1.43E-24,,,,,,,,,,,,,
Somalia,ssp585,2041-2050,Africa,countries,-8.26789625,-8.891301366,3.90944642,-12.50519358,1.595318811,10,90,0.018562361,,,,,,,,,,,,,
Curaçao,ssp126,2041-2050,Americas,countries,-8.251940197,-9.780459497,12.16089702,-24.36054814,6.998134195,10,60,0.215873143,,,,,,,,,,,,,
Philippines,ssp585,2041-2050,Asia,countries,-8.233755714,-3.812644128,8.011133174,-19.60531399,2.472774339,10,90,0.620751012,FALSE,1,,,,,,,,,,,
Pakistan,ssp126,2041-2050,Asia,countries,-8.09402943,-7.240681122,6.620691715,-18.52855555,1.667561717,10,90,0.014016996,FALSE,1,,,,,,,,,,,
Guinea,ssp126,2041-2050,Africa,countries,-8.091315115,-7.919580627,4.177586226,-14.40605381,-1.012688621,10,100,0.009229588,,,,,,,,,,,,,
Aruba,ssp126,2041-2050,Americas,countries,-8.063480222,-6.509101829,12.43708027,-30.43214823,6.392033967,10,70,0.692231072,,,,,,,,,,,,,
Malaysia,ssp126,2091-2100,Asia,countries,-8.037683308,-8.928868436,3.122592117,-13.33384448,-4.143967118,10,100,3.68E-31,FALSE,,,,,,,,,,,,
South Africa,ssp585,2041-2050,Africa,countries,-8.003853815,-6.235046081,8.251357092,-26.66523226,0.069916951,10,90,0.39992932,,,,,,,,,,,,,
Ecuador (Galapagos),ssp126,2041-2050,Americas,countries,-7.906737676,-9.210760354,5.674980456,-15.95705022,1.322114066,10,90,0.608728017,,,,,,,,,,,,,
Maldives,ssp126,2041-2050,Asia,countries,-7.892401691,-7.415489589,3.582371597,-13.71822749,-2.276013507,10,100,0.213166071,FALSE,1,,,,,,,,,,,
Curaçao,ssp126,2091-2100,Americas,countries,-7.871093787,-9.619268914,12.22862624,-21.78353865,11.82548555,10,60,1.44E-05,,,,,,,,,,,,,
Grenada,ssp585,2041-2050,Americas,countries,-7.850469778,-9.223216696,6.457320301,-15.38153641,5.463421822,10,90,0.106558021,,,,,,,,,,,,,
Saint Vincent and the Grenadines,ssp126,2041-2050,Americas,countries,-7.850287057,-10.03656914,6.570772665,-16.5780062,5.908254202,10,90,0.439325577,,,,,,,,,,,,,
Guyana,ssp585,2091-2100,Americas,countries,-7.831254067,-16.69003573,32.64220343,-23.10175464,84.58742317,10,90,6.92E-15,,,,,,,,,,,,,
Timor-Leste,ssp585,2041-2050,Asia,countries,-7.818447259,-8.541164648,5.854044764,-16.90448105,3.784003284,10,90,0.033830748,FALSE,1,,,,,,,,,,,
Ascension,ssp126,2041-2050,Africa,countries,-7.814691669,-8.719361603,3.440137631,-13.63087252,-2.629178517,10,100,6.43E-06,,,,,,,,,,,,,
Guadeloupe,ssp126,2041-2050,Americas,countries,-7.814438468,-6.785280035,5.76855494,-15.34632835,0.209635903,10,90,0.932820364,,,,,,,,,,,,,
Brunei Darussalam,ssp126,2041-2050,Asia,countries,-7.807392379,-8.02528238,3.032564792,-12.172399,-3.943513592,10,100,0.000444127,FALSE,1,,,,,,,,,,,
Jamaica,ssp585,2091-2100,Americas,countries,-7.794099015,-3.897549842,16.57513621,-32.61250131,12.45978161,10,50,0.198288064,,,,,,,,,,,,,
Eritrea,ssp126,2091-2100,Africa,countries,-7.774417879,-5.042615252,13.50183887,-44.29062197,3.455378498,10,80,3.17E-07,,,,,,,,,,,,,
Japan,ssp126,2041-2050,Asia,countries,-7.768097864,-7.786878563,4.896920568,-17.38008125,-2.013402705,10,100,0.1841841,FALSE,1,,,,,,,,,,,
Republic of Korea,ssp126,2091-2100,Asia,countries,-7.766477499,-6.871051602,3.846130936,-13.70416262,-2.700344838,10,100,2.36E-20,FALSE,,,,,,,,,,,,
Saudi Arabia,ssp585,2041-2050,Asia,countries,-7.745614018,-6.966346681,6.53357355,-15.98142053,0.553648233,10,90,0.02060686,FALSE,1,,,,,,,,,,,
Suriname,ssp585,2041-2050,Americas,countries,-7.680323035,-11.97052523,11.01357076,-16.57464139,20.76307123,10,90,0.099339168,,,,,,,,,,,,,
Montserrat,ssp126,2041-2050,Americas,countries,-7.643942605,-7.157191872,7.161701795,-18.71527509,0.66562661,10,90,0.190310422,,,,,,,,,,,,,
Mauritius,ssp585,2091-2100,Africa,countries,-7.614257183,-9.540008877,21.62560394,-45.21017116,26.53792515,10,60,0.33877588,,,,,,,,,,,,,
Benin,ssp126,2041-2050,Africa,countries,-7.587806346,-8.797553592,3.572652043,-13.03706669,-1.381328239,10,100,3.42E-06,,,,,,,,,,,,,
Bassas da India,ssp126,2041-2050,Africa,countries,-7.579613967,-2.266617974,9.907274876,-30.03801237,1.164743126,10,80,0.511792008,,,,,,,,,,,,,
Prince Edward Island,ssp126,2091-2100,Africa,countries,-7.561226646,-7.915528509,4.921912239,-17.36500197,-1.143984023,10,100,1.45E-05,,,,,,,,,,,,,
Cuba,ssp585,2041-2050,Americas,countries,-7.429431218,-6.869525449,3.129359189,-12.4637895,-3.151337736,10,100,0.001318902,,,,,,,,,,,,,
Cabo Verde,ssp585,2041-2050,Africa,countries,-7.427682769,-5.356260844,8.597165395,-27.32788679,0.684806308,10,90,0.882480857,,,,,,,,,,,,,
Guadeloupe,ssp585,2041-2050,Americas,countries,-7.412972764,-8.475568404,7.554827866,-16.1365495,9.741116503,10,90,0.932820364,,,,,,,,,,,,,
United States of America,ssp585,2041-2050,Americas,countries,-7.338591938,-6.824775424,6.072217015,-16.25566862,1.749932643,10,90,0.199141654,,,,,,,,,,,,,
Trinidad and Tobago,ssp126,2091-2100,Americas,countries,-7.290502552,-7.92458821,12.75109714,-23.40889771,23.55163754,10,90,1.03E-06,,,,,,,,,,,,,
Kerguelen Islands,ssp126,2091-2100,Africa,countries,-7.281926552,-6.794942923,5.274415796,-14.84126312,0.148165745,10,90,2.25E-08,,,,,,,,,,,,,
Venezuela (Bolivarian Republic of),ssp126,2041-2050,Americas,countries,-7.273096534,-4.010776772,12.78688193,-27.52799649,7.049388831,10,60,0.304210958,,,,,,,,,,,,,
Congo,ssp126,2041-2050,Africa,countries,-7.263069553,-6.608012289,5.541934591,-16.93838803,0.130357591,10,90,5.87E-07,,,,,,,,,,,,,
Brazil,ssp585,2041-2050,Americas,countries,-7.252111666,-7.371690332,2.427802488,-11.83343908,-3.163886661,10,100,0.064895065,,,,,,,,,,,,,
Guyana,ssp126,2041-2050,Americas,countries,-7.248779276,-8.698931131,7.194405581,-15.38494307,7.913242035,10,90,0.015512967,,,,,,,,,,,,,
Colombia,ssp126,2041-2050,Americas,countries,-7.230683156,-1.817402792,13.08932737,-36.16512011,5.265421719,10,70,0.930877938,,,,,,,,,,,,,
India,ssp126,2041-2050,Asia,countries,-7.210368153,-7.316071752,3.540609003,-14.56119575,-0.964947351,10,100,0.019947819,FALSE,1,,,,,,,,,,,
Gambia,ssp126,2091-2100,Africa,countries,-7.180995768,-4.165038385,6.323734111,-19.3765498,-0.451668433,10,100,6.39E-29,,,,,,,,,,,,,
Nigeria,ssp126,2041-2050,Africa,countries,-7.174337424,-7.265563452,3.129110695,-12.51836175,-2.54603735,10,100,7.74E-07,,,,,,,,,,,,,
Mauritania,ssp126,2091-2100,Africa,countries,-7.174289502,-5.624057841,5.777230107,-14.55369537,2.582028273,10,90,3.48E-20,,,,,,,,,,,,,
Sierra Leone,ssp126,2091-2100,Africa,countries,-7.168295108,-6.178280299,6.290814754,-19.0135365,-0.549112717,10,100,1.98E-24,,,,,,,,,,,,,
Mexico,ssp126,2041-2050,Americas,countries,-7.130511852,-5.884922375,3.846742143,-13.11848748,-2.542378784,10,100,0.07507452,,,,,,,,,,,,,
Colombia (Serranilla),ssp585,2091-2100,Americas,countries,-7.084472091,-0.065286145,18.77539928,-33.69695,20.36935285,10,50,0.058436325,,,,,,,,,,,,,
