ID_mrgd,continent,fao_official,Country_FAO
8453,Americas,the United States of America (Hawaii),United States of America
8463,Americas,the United States of America (Alaska),United States of America
8379,Africa,Ascension,NA
8380,Africa,Saint Helena,NA
8424,Americas,the Republic of Costa Rica,Costa Rica
5673,Europe,the Republic of Croatia,Croatia
8406,Americas,the Republic of Cuba,Cuba
8376,Asia,the Republic of Cyprus,Cyprus
8352,Africa,the Republic of Djibouti,Djibouti
8382,Africa,Tristan da Cunha,NA
8431,Americas,the Republic of Ecuador,Ecuador
8428,Americas,the Republic of El Salvador,El Salvador
8398,Africa,the Republic of Equatorial Guinea,Equatorial Guinea
5675,Europe,the Republic of Estonia,Estonia
8325,Oceania,the Republic of Fiji,Fiji
5676,Europe,the Republic of Finland,Finland
8400,Africa,the Republic of Ghana,Ghana
8430,Americas,the Republic of Guatemala,Guatemala
8472,Africa,the Republic of Guinea,Guinea
8471,Africa,the Republic of Guinea-Bissau,Guinea-Bissau
8408,Americas,the Republic of Haiti,Haiti
8427,Americas,the Republic of Honduras,Honduras
8480,Asia,the Republic of India,India
8492,Asia,the Republic of Indonesia,Indonesia
8470,Asia,the Republic of Iraq,Iraq
5682,Europe,the Republic of Italy,Italy
26522,Asia,the Republic of Kazakhstan,Kazakhstan
8349,Africa,the Republic of Kenya,Kenya
26520,Americas,Bonaire,Netherlands
26518,Americas,Saba,Netherlands
26526,Americas,Sint Eustatius,Netherlands
8327,Asia,the Republic of Korea,"Korea, Republic of"
5683,Europe,the Republic of Latvia,Latvia
8391,Africa,the Republic of Liberia,Liberia
5684,Europe,the Republic of Lithuania,Lithuania
8348,Africa,the Republic of Madagascar,Madagascar
8345,Asia,the Republic of Maldives,Maldives
5685,Europe,the Republic of Malta,Malta
8343,Africa,the Republic of Mauritius,Mauritius
8361,Europe,the Portuguese Republic (Azores Islands),Portugal
8347,Africa,the Republic of Mozambique,Mozambique
8395,Africa,the Republic of Namibia,Namibia
8317,Oceania,the Republic of Nauru,Nauru
8425,Americas,the Republic of Nicaragua,Nicaragua
8315,Oceania,the Republic of Palau,Palau
8423,Americas,the Republic of Panama,Panama
8432,Americas,the Republic of Peru,Peru
5687,Europe,the Republic of Poland,Poland
8371,Africa,the Republic of Senegal,Senegal
8337,Africa,the Republic of Seychelles,Seychelles
8390,Africa,the Republic of Sierra Leone,Sierra Leone
8485,Asia,the Republic of Singapore,Singapore
5692,Europe,the Republic of Slovenia,Slovenia
8396,Africa,the Republic of South Africa,South Africa
8461,Americas,the Republic of Suriname,Suriname
5697,Asia,the Republic of Türkiye,NA
8394,Africa,the Republic of the Congo,Congo
8370,Africa,the Republic of the Gambia,Gambia
8318,Oceania,the Republic of the Marshall Islands,Marshall Islands
8322,Asia,the Republic of the Philippines,Philippines
8355,Africa,the Republic of the Sudan,Sudan
8482,Asia,the Republic of the Union of Myanmar,Myanmar
8420,Americas,the Republic of Trinidad and Tobago,Trinidad and Tobago
8366,Africa,the Republic of Tunisia,Tunisia
8313,Oceania,the Republic of Vanuatu,Vanuatu
8353,Asia,the Republic of Yemen,Yemen
5690,Europe,the Russian Federation,Russian Federation
8484,Asia,the Socialist Republic of Viet Nam,Viet Nam
8351,Africa,the State of Eritrea,Eritrea
8375,Asia,the State of Israel,Israel
8357,Asia,the State of Kuwait,Kuwait
8372,Africa,the State of Libya,NA
8468,Asia,the State of Qatar,Qatar
8354,Asia,the Sultanate of Oman,Oman
8387,Africa,the Kerguelen Islands,NA
8384,Africa,Prince Edward Island,NA
8373,Asia,the Syrian Arab Republic,Syrian Arab Republic
8392,Africa,the Togolese Republic,Togo
8405,Americas,the Turks and Caicos Islands,NA
8334,Africa,the Union of the Comoros,Comoros
8360,Asia,the United Arab Emirates,United Arab Emirates
5696,Europe,the United Kingdom of Great Britain and Northern Ireland,United Kingdom
8429,Americas,the United Mexican States,Mexico
8479,Africa,the United Republic of Tanzania,"Tanzania, United Rep. of"
8339,Africa,Juan de Nova Island,NA
8333,Asia,the Andaman and Nicobar Islands,NA
8456,Americas,the United States of America,United States of America
33180,Americas,the United States Virgin Islands,United States of America
8454,Oceania,the Wallis and Futuna Islands,NA
8449,Oceania,Tokelau,New Zealand
26523,Asia,Turkmenistan,Turkmenistan
8326,Oceania,Tuvalu,Tuvalu
