spatial_scale,continent,figure_name,mean_ssp126_2041-2050,sd_ssp126_2041-2050,agreement_ssp126_2041-2050,mean_ssp585_2041-2050,sd_ssp585_2041-2050,agreement_ssp585_2041-2050,wilcox_p_ssp585_2041-2050,mean_ssp126_2091-2100,sd_ssp126_2091-2100,agreement_ssp126_2091-2100,mean_ssp585_2091-2100,sd_ssp585_2091-2100,agreement_ssp585_2091-2100,wilcox_p_ssp585_2091-2100
countries,Europe,Albania,10.3,6.6,100,4.7,9,67,*,11.3,6.8,100,-33.7,8.8,100,*
countries,Europe,Belgium,-3.9,6.1,88,-9.5,8.7,88,*,-9.3,11.8,62,-20.6,16.2,100,*
countries,Europe,Bulgaria,-5.9,5.7,80,-5.5,4.9,80,,10.5,57.6,70,2.9,50.4,80,*
countries,Europe,Canary Islands,3.5,13.1,50,10.2,16,70,*,-1.8,11.4,60,20.1,39.4,60,*
countries,Europe,Croatia,-7,9.3,70,-7.3,9.8,80,,-13.6,18.2,60,-24.6,15.5,100,*
countries,Europe,Denmark,-7.6,6.3,100,-6.4,7.7,80,,-8.6,8.4,100,-21.4,12.5,90,*
countries,Europe,Estonia,-4.9,10.9,60,-1.1,7.4,60,*,-3.2,11.1,60,-7.2,18.6,50,
countries,Europe,Faroe Islands,-5.6,6.3,80,0.9,13.9,50,*,-2.2,13.2,60,-23.3,14.3,90,*
countries,Europe,Finland,2.4,10.9,50,5.9,9,70,*,3.1,13,50,3.6,21.8,60,
countries,Europe,France,-8.6,8.3,100,-3.7,3.1,90,*,-7.4,6.7,90,-28.2,11.1,100,*
countries,Europe,Georgia,-6.4,13.1,70,3.1,14.1,60,*,16.8,64.1,70,61.1,216.5,70,*
countries,Europe,Germany,-2.4,2.5,80,-4.6,4.7,80,*,-3.2,3.8,80,-16.9,13.3,100,*
countries,Europe,Greece,12.8,6.9,90,-0.2,6.7,60,*,10.7,11.4,80,-21.8,11.3,100,*
countries,Europe,Guernsey,-12.4,6.1,100,-10.2,5.1,100,,-18,4.9,100,-30.6,15,90,*
countries,Europe,Iceland,-5.3,5.5,90,-1.2,10.8,60,*,-5,8.5,70,-25.1,9.2,100,*
countries,Europe,Ireland,-12.1,7.1,100,3.4,11.4,60,*,-9.1,5.1,100,-33.6,6.1,100,*
countries,Europe,Italy,10.7,9.9,80,-1.4,13.6,60,*,12.4,12.4,80,-17.8,14.7,90,*
countries,Europe,Jan Mayen Island,-12,7.2,100,-12.8,10.7,90,,-14.5,9.9,90,-35.8,10.8,100,*
countries,Europe,Latvia,-3.6,8.1,60,-2,5.8,60,,-3.3,6.3,70,-10.9,16.7,70,*
countries,Europe,Lithuania,-2.5,4.4,80,-3.9,5.4,80,,-2.3,3.3,70,-13.9,16.2,80,*
countries,Europe,Madeira Islands,-12.5,11.4,90,-12.2,14.8,90,,-26.6,19.1,100,-19.2,44.1,80,
countries,Europe,Malta,3.8,15.6,50,0.5,17.5,60,,8.9,31.4,50,-21.8,12.5,90,*
countries,Europe,Montenegro,4.4,4.8,90,-1.6,5.7,60,*,-2.6,7.4,60,-18.3,21.7,80,*
countries,Europe,Netherlands (Kingdom of the),-3.3,5.1,70,-6.9,4.7,90,*,-7.4,8,80,-23.8,14.9,100,*
countries,Europe,Norway,-8.4,2.3,100,-4.2,7.3,80,*,-9.2,7.2,90,-27.8,10.3,100,*
countries,Europe,Poland,-2.9,4.9,70,-3.3,5.9,70,,-3.2,5.5,60,-14.3,17.7,80,*
countries,Europe,Portugal,-11.1,5.6,100,-4.4,7.4,70,*,-23.4,7.1,100,-26,29.4,90,
countries,Europe,Portugal (Azores Islands),-25,14.1,100,-29.4,11.1,100,*,-28.6,4.4,100,-60.4,12,100,*
countries,Europe,Romania,-2,2.4,70,-3.8,5.4,80,,-0.5,6,60,-4,34.5,70,*
countries,Europe,Russian Federation,-2,2.9,70,-4.1,4.1,80,*,-5.1,4.6,90,-19.7,11.9,100,*
countries,Europe,Spain,-15.6,14.9,100,-2.5,4.9,60,*,-15.3,8.7,100,-35.6,10.5,100,*
countries,Europe,Svalbard Islands,-5.2,7.2,80,-3.8,10.2,60,,-6.8,13.4,50,-22.2,13.5,90,*
countries,Europe,Sweden,-1.7,6.4,50,1.4,5.9,60,*,-1.1,9,60,-2.3,16.3,50,
countries,Europe,United Kingdom of Great Britain and Northern Ireland,-8.2,4.5,100,0.1,7.6,60,*,-5.9,6.2,90,-23.8,10,100,*
countries,Oceania,American Samoa,-10.2,8.2,100,-14.4,11,100,*,-7.7,7.2,90,-28,25.7,90,*
countries,Oceania,Australia,-4.2,3.9,90,-9.8,3.3,100,*,-5.2,3.4,100,-23.6,10.8,100,*
countries,Oceania,Australia (Macquarie Island),-8.6,5.9,100,-7.9,6.1,90,,-12.9,8,90,-18.4,12.9,80,*
countries,Oceania,Christmas Island,-6.5,7,80,-9.5,6.9,100,,-6.2,7.1,80,-18.7,18.1,70,*
countries,Oceania,Clipperton Island,-4.3,11.4,50,-6.1,9.5,70,,-3.3,9.9,70,-28.3,17,100,*
countries,Oceania,Cocos (Keeling) Islands,-7.4,5.5,90,-9.5,6.1,100,,-9.1,8,100,-19.9,16.4,100,*
countries,Oceania,Cook Islands,-4.7,6.1,80,-9.1,6.3,100,*,-2.7,4.4,70,-26.7,21.9,100,*
countries,Oceania,Fiji,0.7,11.8,50,-5.5,16.6,50,*,-2.7,13.8,50,-19.6,29.1,60,*
countries,Oceania,French Polynesia,-6.2,4.6,100,-10.4,7.5,100,*,-3.5,2.8,80,-28.3,18.9,100,*
countries,Oceania,Guam,-0.9,17.3,50,-2.3,18.4,60,,-6.3,10.2,70,2.6,53.1,50,
countries,Oceania,Heard Island and McDonald Islands,-3.7,2.9,80,-4,3.3,80,,-6.8,3.9,100,-15.1,10.9,90,*
countries,Oceania,Howland and Baker Islands,-5.3,3.3,100,-3.2,6.1,70,,-3.1,4.7,80,-31.3,17.4,90,*
countries,Oceania,Jarvis Island,-7.6,3.3,100,-6,6.1,90,,-5.4,4.9,90,-27,20.9,90,*
countries,Oceania,Johnston Atoll,-7.7,16.8,60,-7.3,13.5,50,,-8.6,12.4,70,-13,38.1,60,
countries,Oceania,Kiribati (Gilbert Islands),-6.5,3.2,100,-4.2,5.2,80,,-2.4,5.8,70,-39.5,15.7,100,*
countries,Oceania,Kiribati (Line Islands),-3.3,2.2,100,-4.9,6.1,80,,-2.3,3.4,70,-26.6,20.1,90,*
countries,Oceania,Kiribati (Phoenix Islands),-6.1,2.9,100,-5.7,6.3,90,,-3.9,3.5,90,-38.2,15.3,100,*
countries,Oceania,Marshall Islands,-6.1,11,50,-10.5,7.7,90,*,-8,6,100,-29.7,24.8,80,*
countries,Oceania,Micronesia (Federated States of),-10.9,10.9,90,-15.6,7.5,100,*,-9.3,9,90,-40.7,23.9,100,*
countries,Oceania,Nauru,-8,3.2,100,-6.9,4.5,100,,-4.7,6.6,70,-46.4,18,100,*
countries,Oceania,New Caledonia,-2.8,6.9,50,-11.4,12.3,90,*,-6.3,11.5,50,-29,22.3,100,*
countries,Oceania,New Zealand,-5.7,3.2,90,-9.6,2.8,100,*,-7.7,4.6,90,-26.2,8,100,*
countries,Oceania,Niue,-2,8.5,50,-5.8,12.6,60,,-4.1,9,50,-17.9,27.8,80,*
countries,Oceania,Norfolk Island,-3.1,5.7,90,-17.6,11.7,100,*,-4.5,5.7,90,-38.6,19.9,100,*
countries,Oceania,Northern Mariana Islands,0.2,9.6,50,-2.1,16.4,50,,-0.8,7.2,60,-0.9,47.2,50,
countries,Oceania,Palau,-12.8,16.4,80,-20.1,12.1,100,*,-13.1,12.9,90,-41.6,23.7,100,*
countries,Oceania,Palmyra Atoll,-4.3,4.1,90,-5.3,10.8,60,,-4.7,4.4,80,-31.8,9.6,100,*
countries,Oceania,Papua New Guinea,-12.5,8.8,100,-16.5,9.4,100,*,-11.3,13.3,90,-50.5,19.3,100,*
