ID_mrgd,continent,Country_FAO,fao_official
8328,Asia,"Korea, Dem. People's Rep",the Democratic People's Republic of Korea
8437,Europe,Norway,the Svalbard and Jan Mayen Islands
5686,Europe,Norway,the Kingdom of Norway
33181,Europe,Norway,the Svalbard and Jan Mayen Islands
8354,Asia,Oman,the Sultanate of Oman
8359,Asia,Pakistan,the Islamic Republic of Pakistan
8315,Oceania,Palau,the Republic of Palau
48953,Asia,Palestine,Palestine
8423,Americas,Panama,the Republic of Panama
8324,Oceania,Papua New Guinea,the Independent State of Papua New Guinea
8432,Americas,Peru,the Republic of Peru
8322,Asia,Philippines,the Republic of the Philippines
5687,Europe,Poland,the Republic of Poland
5688,Europe,Portugal,the Portuguese Republic
8361,Europe,Portugal,the Portuguese Republic
8363,Europe,Portugal,the Portuguese Republic
8468,Asia,Qatar,the State of Qatar
8343,Africa,Mauritius,the Republic of Mauritius
8394,Africa,Congo,the Republic of the Congo
5689,Europe,Romania,Romania
5690,Europe,Russian Federation,the Russian Federation
8413,Americas,Saint Kitts and Nevis,Saint Kitts and Nevis
8416,Americas,Saint Lucia,Saint Lucia
8421,Americas,Saint Vincent/Grenadines,Saint Vincent and the Grenadines
8445,Oceania,Samoa,the Independent State of Samoa
8397,Africa,Sao Tome and Principe,the Democratic Republic of Sao Tome and Principe
8356,Asia,Saudi Arabia,the Kingdom of Saudi Arabia
8371,Africa,Senegal,the Republic of Senegal
8337,Africa,Seychelles,the Republic of Seychelles
8390,Africa,Sierra Leone,the Republic of Sierra Leone
8485,Asia,Singapore,the Republic of Singapore
5692,Europe,Slovenia,the Republic of Slovenia
8314,Oceania,Solomon Islands,Solomon Islands
8396,Africa,South Africa,the Republic of South Africa
8327,Asia,"Korea, Republic of",the Republic of Korea
5693,Europe,Spain,the Kingdom of Spain
8364,Europe,Spain,the Kingdom of Spain
8346,Asia,Sri Lanka,the Democratic Socialist Republic of Sri Lanka
8355,Africa,Sudan,the Republic of the Sudan
8461,Americas,Suriname,the Republic of Suriname
5694,Europe,Sweden,the Kingdom of Sweden
8373,Asia,Syrian Arab Republic,the Syrian Arab Republic
8321,Asia,China,Taiwan Province of China
8479,Africa,"Tanzania, United Rep. of",the United Republic of Tanzania
8332,Asia,Thailand,the Kingdom of Thailand
8392,Africa,Togo,the Togolese Republic
8448,Oceania,Tonga,the Kingdom of Tonga
8420,Americas,Trinidad and Tobago,the Republic of Trinidad and Tobago
8366,Africa,Tunisia,the Republic of Tunisia
5697,Asia,Turkey,the Republic of Türkiye
26523,Asia,Turkmenistan,Turkmenistan
8326,Oceania,Tuvalu,Tuvalu
8360,Asia,United Arab Emirates,the United Arab Emirates
8412,Americas,United Kingdom,Anguilla
8379,Africa,United Kingdom,"Ascension, Saint Helena and Tristan da Cunha"
8402,Americas,United Kingdom,Bermuda
8411,Americas,United Kingdom,the British Virgin Islands
8407,Americas,United Kingdom,the Cayman Islands
21788,Europe,United Kingdom,the Bailiwick of Guernsey
21789,Europe,United Kingdom,the Bailiwick of Jersey
8415,Americas,United Kingdom,Montserrat
8439,Oceania,United Kingdom,Pitcairn
8380,Africa,United Kingdom,"Ascension, Saint Helena and Tristan da Cunha"
8382,Africa,United Kingdom,"Ascension, Saint Helena and Tristan da Cunha"
8405,Americas,United Kingdom,the Turks and Caicos Islands
5696,Europe,United Kingdom,the United Kingdom of Great Britain and Northern Ireland
