"","O_name_En_Website","Short_name_En_Website","Country_name","Continent_name","Continent_ID","ISO3_country","ISO3_territory","O_Name_En_Emmanuel","O_Name_En_Stefania","Romname_Emmanuel","Maplab_Emmanuel","Short_name_En_Website2"
"168","New Zealand","New Zealand","New Zealand","Oceania","OCE","NZL","NZL","New Zealand","New Zealand","New Zealand","New Zealand","New Zealand"
"169","Tokelau","Tokelau","New Zealand","Oceania","OCE","NZL","TKL","Tokelau","Tokelau","Tokelau","Tokelau *","Tokelau"
"170","the Cook Islands","Cook Islands (the)","New Zealand","Oceania","OCE","NZL","COK","the Cook Islands","the Cook Islands","Cook Islands","Cook Islands","Cook Islands"
"171",NA,NA,"New Zealand","Oceania","OCE","NZL","NIU","the Republic of Niue",NA,"Niue","Niue",NA
"172","the Republic of Nicaragua","Nicaragua","Nicaragua","America","AME","NIC","NIC","the Republic of Nicaragua","the Republic of Nicaragua","Nicaragua","Nicaragua","Nicaragua"
"173","the Republic of the Niger","Niger (the)","Niger","Africa","AFR","NER","NER","the Republic of the Niger","the Republic of the Niger","Niger","Niger","Niger"
"174","the Federal Republic of Nigeria","Nigeria","Nigeria","Africa","AFR","NGA","NGA","the Federal Republic of Nigeria","the Federal Republic of Nigeria","Nigeria","Nigeria","Nigeria"
"175","the Republic of North Macedonia","North Macedonia","North Macedonia","Europe","EUR","MKD","MKD","the Republic of North Macedonia","the Republic of North Macedonia","North Macedonia","North Macedonia","North Macedonia"
"176","Bouvet Island","Bouvet Island","Norway","Africa","AFR","NOR","BVT","Bouvet Island","Bouvet Island","Bouvet Island","Bouvet Island","Bouvet Island"
"177","the Kingdom of Norway","Norway","Norway","Europe","EUR","NOR","NOR","the Kingdom of Norway","the Kingdom of Norway","Norway","Norway","Norway"
"178",NA,NA,"Norway","Europe","EUR","NOR","SJM","Svalbard and Jan Mayen Islands",NA,"Svalbard and Jan Mayen Islands","Svalbard & Jan Mayen Is. (Norw.)",NA
"179","the Sultanate of Oman","Oman","Oman","Asia","ASI","OMN","OMN","the Sultanate of Oman","the Sultanate of Oman","Oman","Oman","Oman"
"180","the Islamic Republic of Pakistan","Pakistan","Pakistan","Asia","ASI","PAK","PAK","the Islamic Republic of Pakistan","the Islamic Republic of Pakistan","Pakistan","Pakistan","Pakistan"
"181","the Republic of Palau","Palau","Palau","Oceania","OCE","PLW","PLW","the Republic of Palau","the Republic of Palau","Palau","Palau","Palau"
"182","Palestine","Palestine","Palestine","Asia","ASI","PSE","PSE","Palestine","Palestine","Gaza","Gaza","Palestine"
"183","Palestine","Palestine","Palestine","Asia","ASI","PSE","PSE","Palestine","Palestine","West Bank","West Bank","Palestine"
"184","the Republic of Panama","Panama","Panama","America","AME","PAN","PAN","the Republic of Panama","the Republic of Panama","Panama","Panama","Panama"
"185",NA,NA,"Papua New Guinea","Oceania","OCE","PNG","PNG","Independent State of Papua New Guinea",NA,"Papua New Guinea","Papua New Guinea",NA
"186","the Republic of Paraguay","Paraguay","Paraguay","America","AME","PRY","PRY","the Republic of Paraguay","the Republic of Paraguay","Paraguay","Paraguay","Paraguay"
"187","the Republic of Peru","Peru","Peru","America","AME","PER","PER","the Republic of Peru","the Republic of Peru","Peru","Peru","Peru"
"188","the Republic of the Philippines","Philippines (the)","Philippines","Asia","ASI","PHL","PHL","the Republic of the Philippines","the Republic of the Philippines","Philippines","Philippines","Philippines"
"189","the Republic of Poland","Poland","Poland","Europe","EUR","POL","POL","the Republic of Poland","the Republic of Poland","Poland","Poland","Poland"
"190","the Portuguese Republic","Portugal","Portugal","Europe","EUR","PRT","PRT","the Portuguese Republic","the Portuguese Republic","Portugal","Portugal","Portugal"
"191","the Portuguese Republic","Portugal","Portugal","Europe","EUR","PRT","PRT","the Portuguese Republic","the Portuguese Republic","Azores Islands","Azores Islands (Port.)","Portugal"
"192","the Portuguese Republic","Portugal","Portugal","Europe","EUR","PRT","PRT","the Portuguese Republic","the Portuguese Republic","Madeira Island","Madeira Islands (Port.)","Portugal"
"193","the State of Qatar","Qatar","Qatar","Asia","ASI","QAT","QAT","the State of Qatar","the State of Qatar","Qatar","Qatar","Qatar"
"194","Romania","Romania","Romania","Europe","EUR","ROU","ROU","Romania","Romania","Romania","Romania","Romania"
"195","the Russian Federation","Russian Federation (the)","Russian Federation","Europe","EUR","RUS","RUS","the Russian Federation","the Russian Federation","Russian Federation","Russian Federation","Russian Federation"
"196",NA,NA,"Russian Federation","Asia","ASI","RUS","xRI","",NA,"","",NA
"197","the Republic of Rwanda","Rwanda","Rwanda","Africa","AFR","RWA","RWA","the Republic of Rwanda","the Republic of Rwanda","Rwanda","Rwanda","Rwanda"
"198","Saint Kitts and Nevis","Saint Kitts and Nevis","Saint Kitts and Nevis","America","AME","KNA","KNA","Saint Kitts and Nevis","Saint Kitts and Nevis","Saint Kitts and Nevis","Saint Kitts and Nevis","Saint Kitts and Nevis"
"199","Saint Lucia","Saint Lucia","Saint Lucia","America","AME","LCA","LCA","Saint Lucia","Saint Lucia","Saint Lucia","Saint Lucia","Saint Lucia"
"200","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Saint Vincent/Grenadines","America","AME","VCT","VCT","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines"
"201","the Independent State of Samoa","Samoa","Samoa","Oceania","OCE","WSM","WSM","the Independent State of Samoa","the Independent State of Samoa","Samoa","Samoa","Samoa"
"202","the Republic of San Marino","San Marino","San Marino","Europe","EUR","SMR","SMR","the Republic of San Marino","the Republic of San Marino","San Marino","San Marino","San Marino"
"203","the Democratic Republic of Sao Tome and Principe","Sao Tome and Principe","Sao Tome and Principe","Africa","AFR","STP","STP","the Democratic Republic of Sao Tome and Principe","the Democratic Republic of Sao Tome and Principe","Sao Tome and Principe","Sao Tome and Principe","Sao Tome and Principe"
"204","the Kingdom of Saudi Arabia","Saudi Arabia","Saudi Arabia","Asia","ASI","SAU","SAU","the Kingdom of Saudi Arabia","the Kingdom of Saudi Arabia","Saudi Arabia","Saudi Arabia","Saudi Arabia"
"205","the Republic of Senegal","Senegal","Senegal","Africa","AFR","SEN","SEN","the Republic of Senegal","the Republic of Senegal","Senegal","Senegal","Senegal"
"206","the Republic of Serbia","Serbia","Serbia","Europe","EUR","SRB","SRB","the Republic of Serbia","the Republic of Serbia","Serbia","Serbia","Serbia"
"207","the Republic of Seychelles","Seychelles","Seychelles","Africa","AFR","SYC","SYC","the Republic of Seychelles","the Republic of Seychelles","Seychelles","Seychelles","Seychelles"
"208","the Republic of Sierra Leone","Sierra Leone","Sierra Leone","Africa","AFR","SLE","SLE","the Republic of Sierra Leone","the Republic of Sierra Leone","Sierra Leone","Sierra Leone","Sierra Leone"
"209","the Republic of Singapore","Singapore","Singapore","Asia","ASI","SGP","SGP","the Republic of Singapore","the Republic of Singapore","Singapore","Singapore","Singapore"
"210","the Slovak Republic","Slovakia","Slovakia","Europe","EUR","SVK","SVK","the Slovak Republic","the Slovak Republic","Slovakia","Slovakia","Slovakia"
"211","the Republic of Slovenia","Slovenia","Slovenia","Europe","EUR","SVN","SVN","the Republic of Slovenia","the Republic of Slovenia","Slovenia","Slovenia","Slovenia"
"212","Solomon Islands","Solomon Islands","Solomon Islands","Oceania","OCE","SLB","SLB","Solomon Islands","Solomon Islands","Solomon Islands","Solomon Islands","Solomon Islands"
"213","the Federal Republic of Somalia","Somalia","Somalia","Africa","AFR","SOM","SOM","the Federal Republic of Somalia","the Federal Republic of Somalia","Somalia","Somalia","Somalia"
"214","the Republic of South Africa","South Africa","South Africa","Africa","AFR","ZAF","ZAF","the Republic of South Africa","the Republic of South Africa","South Africa","South Africa","South Africa"
"215","the Republic of South Sudan","South Sudan","South Sudan","Africa","AFR","SSD","SSD","the Republic of South Sudan","the Republic of South Sudan","Ilemi Triangle","","South Sudan"
"216","the Republic of South Sudan","South Sudan","South Sudan","Africa","AFR","SSD","SSD","the Republic of South Sudan","the Republic of South Sudan","South Sudan","South Sudan","South Sudan"
"217","the Kingdom of Spain","Spain","Spain","Europe","EUR","ESP","ESP","the Kingdom of Spain","the Kingdom of Spain","Canary Islands","Canary Islands (Sp.)","Spain"
"218","the Kingdom of Spain","Spain","Spain","Europe","EUR","ESP","ESP","the Kingdom of Spain","the Kingdom of Spain","Spain","Spain","Spain"
"219","the Democratic Socialist Republic of Sri Lanka","Sri Lanka","Sri Lanka","Asia","ASI","LKA","LKA","the Democratic Socialist Republic of Sri Lanka","the Democratic Socialist Republic of Sri Lanka","Sri Lanka","Sri Lanka","Sri Lanka"
"220","the Republic of the Sudan","Sudan (the)","Sudan","Africa","AFR","SDN","SDN","the Republic of the Sudan","the Republic of the Sudan","Sudan","Sudan","Sudan"
"221","the Republic of the Sudan","Sudan (the)","Sudan","Africa","AFR","SDN","SDN","the Republic of the Sudan","the Republic of the Sudan","Halaib Triangle","","Sudan"
"222","the Republic of Suriname","Suriname","Suriname","America","AME","SUR","SUR","the Republic of Suriname","the Republic of Suriname","Suriname","Suriname","Suriname"
"223","the Kingdom of Sweden","Sweden","Sweden","Europe","EUR","SWE","SWE","the Kingdom of Sweden","the Kingdom of Sweden","Sweden","Sweden","Sweden"
"224","the Swiss Confederation","Switzerland","Switzerland","Europe","EUR","CHE","CHE","the Swiss Confederation","the Swiss Confederation","Switzerland","Switzerland","Switzerland"
"225","the Syrian Arab Republic","Syrian Arab Republic (the)","Syrian Arab Republic","Asia","ASI","SYR","SYR","the Syrian Arab Republic","the Syrian Arab Republic","Syrian Arab Republic","Syrian Arab Republic","Syrian Arab Republic"
"226","the Republic of Tajikistan","Tajikistan","Tajikistan","Asia","ASI","TJK","TJK","the Republic of Tajikistan","the Republic of Tajikistan","Tajikistan","Tajikistan","Tajikistan"
"227","the United Republic of Tanzania","United Republic of Tanzania (the)","Tanzania, United Rep. of","Africa","AFR","TZA","TZA","the United Republic of Tanzania","the United Republic of Tanzania","United Republic of Tanzania","United Republic of Tanzania","United Republic of Tanzania"
"228","the Kingdom of Thailand","Thailand","Thailand","Asia","ASI","THA","THA","the Kingdom of Thailand","the Kingdom of Thailand","Thailand","Thailand","Thailand"
"229","the Democratic Republic of Timor-Leste","Timor-Leste","Timor-Leste","Asia","ASI","TLS","TLS","the Democratic Republic of Timor-Leste","the Democratic Republic of Timor-Leste","Timor-Leste","Timor-Leste","Timor-Leste"
"230","the Togolese Republic","Togo","Togo","Africa","AFR","TGO","TGO","the Togolese Republic","the Togolese Republic","Togo","Togo","Togo"
"231","the Kingdom of Tonga","Tonga","Tonga","Oceania","OCE","TON","TON","the Kingdom of Tonga","the Kingdom of Tonga","Tonga","Tonga","Tonga"
"232","the Republic of Trinidad and Tobago","Trinidad and Tobago","Trinidad and Tobago","America","AME","TTO","TTO","the Republic of Trinidad and Tobago","the Republic of Trinidad and Tobago","Trinidad and Tobago","Trinidad and Tobago","Trinidad and Tobago"
"233","the Republic of Tunisia","Tunisia","Tunisia","Africa","AFR","TUN","TUN","the Republic of Tunisia","the Republic of Tunisia","Tunisia","Tunisia","Tunisia"
"234",NA,NA,"Turkey","Asia","ASI","TUR","TUR","the Republic of Turkey",NA,"Turkey","Turkey",NA
"235","Turkmenistan","Turkmenistan","Turkmenistan","Asia","ASI","TKM","TKM","Turkmenistan","Turkmenistan","Turkmenistan","Turkmenistan","Turkmenistan"
"236","Tuvalu","Tuvalu","Tuvalu","Oceania","OCE","TUV","TUV","Tuvalu","Tuvalu","Tuvalu","Tuvalu","Tuvalu"
"237","the Republic of Uganda","Uganda","Uganda","Africa","AFR","UGA","UGA","the Republic of Uganda","the Republic of Uganda","Uganda","Uganda","Uganda"
"238","Ukraine","Ukraine","Ukraine","Europe","EUR","UKR","UKR","Ukraine","Ukraine","Ukraine","Ukraine","Ukraine"
"239","the United Arab Emirates","United Arab Emirates (the)","United Arab Emirates","Asia","ASI","ARE","ARE","the United Arab Emirates","the United Arab Emirates","United Arab Emirates","United Arab Emirates","United Arab Emirates"
"240","Anguilla","Anguilla","United Kingdom","America","AME","GBR","AIA","Anguilla","Anguilla","Anguilla","Anguilla *","Anguilla"
"241","Bermuda","Bermuda","United Kingdom","America","AME","GBR","BMU","Bermuda","Bermuda","Bermuda","Bermuda *","Bermuda"
"242","Gibraltar","Gibraltar","United Kingdom","Europe","EUR","GBR","GIB","Gibraltar","Gibraltar","Gibraltar","Gibraltar *","Gibraltar"
"243","Montserrat","Montserrat","United Kingdom","America","AME","GBR","MSR","Montserrat","Montserrat","Montserrat","Montserrat *","Montserrat"
"244","South Georgia and the South Sandwich Islands","South Georgia and the South Sandwich Islands","United Kingdom","America","AME","GBR","SGS","South Georgia and the South Sandwich Islands","South Georgia and the South Sandwich Islands","South Georgia and the South Sandwich Islands","South Georgia and the South Sandwich Is.","South Georgia and the South Sandwich Islands"
"245","the Falkland Islands (Malvinas)","Falkland Islands (Malvinas) (the)","United Kingdom","America","AME","GBR","FLK","the Falkland Islands (Malvinas)","the Falkland Islands (Malvinas)","Falkland Islands (Malvinas)","Falkland Islands (Malvinas) ***","Falkland Islands (Malvinas)"
"246","the United Kingdom of Great Britain and Northern Ireland","United Kingdom of Great Britain and Northern Ireland (the)","United Kingdom","Europe","EUR","GBR","GBR","the United Kingdom of Great Britain and Northern Ireland","the United Kingdom of Great Britain and Northern Ireland","United Kingdom of Great Britain & Northern Ireland","United Kingdom of Great Britain & Northern Ireland","United Kingdom of Great Britain and Northern Ireland"
"247",NA,NA,"United Kingdom","Europe","EUR","GBR","JEY","Bailiwick of Jersey",NA,"Jersey","Jersey (UK)",NA
"248",NA,NA,"United Kingdom","Africa","AFR","GBR","SHN","Saint Helena, Ascension and Tristan da Cunha",NA,"Saint Helena","Ascencion *",NA
"249",NA,NA,"United Kingdom","Africa","AFR","GBR","SHN","Saint Helena, Ascension and Tristan da Cunha",NA,"Saint Helena","Tristan da Cunha *",NA
"250",NA,NA,"United Kingdom","Africa","AFR","GBR","SHN","Saint Helena, Ascension and Tristan da Cunha",NA,"Saint Helena","Saint Helena *",NA
"251",NA,NA,"United Kingdom","Africa","AFR","GBR","SHN","Saint Helena, Ascension and Tristan da Cunha",NA,"Saint Helena","Gough *",NA
"252",NA,NA,"United Kingdom","America","AME","GBR","VGB","British Virgin Islands",NA,"British Virgin Islands","British Virgin Islands *",NA
"253",NA,NA,"United Kingdom","Oceania","OCE","GBR","PCN","Pitcairn Islands",NA,"Pitcairn","Pitcairn *",NA
"254",NA,NA,"United Kingdom","Europe","EUR","GBR","IMN","Isle of Man",NA,"Isle of Man","Isle of Man (UK)",NA
"255",NA,NA,"United Kingdom","Europe","EUR","GBR","GGY","Bailiwick of Guernsey",NA,"Guernsey","Guernsey (UK)",NA
"256",NA,NA,"United Kingdom","America","AME","GBR","CYM","Cayman Islands",NA,"Cayman Islands","Cayman Islands *",NA
"257",NA,NA,"United Kingdom","America","AME","GBR","TCA","Turks and Caicos Islands",NA,"Turks and Caicos Islands","Turks and Caicos Islands *",NA
"258","American Samoa","American Samoa","United States of America","Oceania","OCE","USA","ASM","American Samoa","American Samoa","American Samoa","American Samoa *","American Samoa"
"259","Guam","Guam","United States of America","Oceania","OCE","USA","GUM","Guam","Guam","Guam","Guam *","Guam"
"260","the United States Virgin Islands","United States Virgin Islands (the)","United States of America","","","USA","VIR","the United States Virgin Islands","the United States Virgin Islands","United States Virgin Islands","United States Virgin Islands *","United States Virgin Islands"
"261","the United States of America","United States of America (the)","United States of America","America","AME","USA","USA","the United States of America","the United States of America","United States of America","United States of America","United States of America"
"262",NA,NA,"United States of America","Oceania","OCE","USA","UMI","the United States Minor Islands",NA,"Baker Island","Baker Island (USA)",NA
"263",NA,NA,"United States of America","Oceania","OCE","USA","UMI","the United States Minor Islands",NA,"Jarvis Island","Jarvis Island (USA)",NA
"264",NA,NA,"United States of America","Oceania","OCE","USA","UMI","the United States Minor Islands",NA,"Kingman Reef","Kingman Reef (USA)",NA
"265",NA,NA,"United States of America","America","AME","USA","UMI","the United States Minor Islands",NA,"Navassa Island","Navassa Island (USA)",NA
"266",NA,NA,"United States of America","Oceania","OCE","USA","UMI","the United States Minor Islands",NA,"Howland Island","Howland Island (USA)",NA
"267",NA,NA,"United States of America","America","AME","USA","PRI","Puerto Rico",NA,"Puerto Rico (USA)","Puerto Rico (USA)",NA
"268",NA,NA,"United States of America","Oceania","OCE","USA","UMI","the United States Minor Islands",NA,"Wake Island","Wake Island (USA)",NA
"269",NA,NA,"United States of America","Oceania","OCE","USA","UMI","the United States Minor Islands",NA,"Palmyra Atoll","Palmyra Atoll (USA)",NA
"270",NA,NA,"United States of America","Oceania","OCE","USA","UMI","the United States Minor Islands",NA,"Johnston Atoll","Johnston Atoll (USA)",NA
"271",NA,NA,"United States of America","Oceania","OCE","USA","UMI","the United States Minor Islands",NA,"Midway Islands","Midway Islands (USA)",NA
"272",NA,NA,"United States of America","Oceania","OCE","USA","MNP","Northern Mariana Islands",NA,"Northern Mariana Is. (USA)","Northern Mariana Is. (USA)",NA
"273","the Eastern Republic of Uruguay","Uruguay","Uruguay","America","AME","URY","URY","the Eastern Republic of Uruguay","the Eastern Republic of Uruguay","Uruguay","Uruguay","Uruguay"
"274","the Republic of Uzbekistan","Uzbekistan","Uzbekistan","Asia","ASI","UZB","UZB","the Republic of Uzbekistan","the Republic of Uzbekistan","Uzbekistan","Uzbekistan","Uzbekistan"
"275","the Republic of Vanuatu","Vanuatu","Vanuatu","Oceania","OCE","VUT","VUT","the Republic of Vanuatu","the Republic of Vanuatu","Vanuatu","Vanuatu","Vanuatu"
"276","the Bolivarian Republic of Venezuela","Bolivarian Republic of Venezuela (the)","Venezuela, Boliv Rep of","America","AME","VEN","VEN","the Bolivarian Republic of Venezuela","the Bolivarian Republic of Venezuela","Venezuela","Venezuela","Venezuela (Bolivarian Republic of)"
"277","the Bolivarian Republic of Venezuela","Bolivarian Republic of Venezuela (the)","Venezuela, Boliv Rep of","America","AME","VEN","VEN","the Bolivarian Republic of Venezuela","the Bolivarian Republic of Venezuela","Bird Island","","Venezuela (Bolivarian Republic of)"
"278","the Socialist Republic of Viet Nam","Viet Nam","Viet Nam","Asia","ASI","VNM","VNM","the Socialist Republic of Viet Nam","the Socialist Republic of Viet Nam","Viet Nam","Viet Nam","Viet Nam"
"279","Western Sahara","Western Sahara","Western Sahara","Africa","AFR","ESH","ESH","Western Sahara","Western Sahara","Western Sahara","Western Sahara *","Western Sahara"
"280","the Republic of Yemen","Yemen","Yemen","Asia","ASI","YEM","YEM","the Republic of Yemen","the Republic of Yemen","Yemen","Yemen","Yemen"
"281","the Republic of Zambia","Zambia","Zambia","Africa","AFR","ZMB","ZMB","the Republic of Zambia","the Republic of Zambia","Zambia","Zambia","Zambia"
"282","the Republic of Zimbabwe","Zimbabwe","Zimbabwe","Africa","AFR","ZWE","ZWE","the Republic of Zimbabwe","the Republic of Zimbabwe","Zimbabwe","Zimbabwe","Zimbabwe"
"283","Arunachal Pradesh","Arunachal Pradesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arunachal Pradesh"
"284","Ascension, Saint Helena and Tristan da Cunha","Ascension, Saint Helena and Tristan da Cunha",NA,NA,NA,NA,"SHN",NA,"Ascension, Saint Helena and Tristan da Cunha",NA,NA,"Ascension, Saint Helena and Tristan da Cunha"
"285","Baker Island","Baker Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baker Island"
"286","Bassas da India","Bassas da India",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bassas da India"
"287","Bird Island","Bird Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bird Island"
"288","China, Macao Special Administrative Region","China, Macao SAR",NA,NA,NA,NA,"MAC",NA,"China, Macao Special Administrative Region",NA,NA,"China, Macao SAR"
"289","Clipperton Island","Clipperton Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clipperton Island"
"290","Curaçao","Curaçao",NA,NA,NA,NA,"CUW",NA,"Curaçao",NA,NA,"Curaçao"
"291","Diego Garcia","Diego Garcia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diego Garcia"
"292","Europa Island","Europa Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europa Island"
"293","Heard Island and McDonald Islands","Heard Island and McDonald Islands",NA,NA,NA,NA,"HMD",NA,"Heard Island and McDonald Islands",NA,NA,"Heard Island and McDonald Islands"
"294","Howland Island","Howland Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Howland Island"
"295","Iceland","Iceland",NA,NA,NA,NA,"ISL",NA,"Iceland",NA,NA,"Iceland"
"296","Jammu and Kashmir","Jammu and Kashmir",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jammu and Kashmir"
"297","Jarvis Island","Jarvis Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jarvis Island"
"298","Johnston Atoll","Johnston Atoll",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Johnston Atoll"
"299","Johnston Island","Johnston Island",NA,NA,NA,NA,"JTN",NA,"Johnston Island",NA,NA,"Johnston Island"
"300","Juan de Nova Island","Juan de Nova Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Juan de Nova Island"
"301","Kingman Reef","Kingman Reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kingman Reef"
"302","Kosovo","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kosovo"
"303","Ma'tan al-Sarra","Ma'tan al-Sarra",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ma'tan al-Sarra"
"304","Marion Island","Marion Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marion Island"
"305","Navassa Island","Navassa Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Navassa Island"
"306","Nepal","Nepal",NA,NA,NA,NA,"NPL",NA,"Nepal",NA,NA,"Nepal"
"307","Niue","Niue",NA,NA,NA,NA,"NIU",NA,"Niue",NA,NA,"Niue"
"308","Norfolk Island","Norfolk Island",NA,NA,NA,NA,"NFK",NA,"Norfolk Island",NA,NA,"Norfolk Island"
"309","Palmyra Atoll","Palmyra Atoll",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palmyra Atoll"
"310","Panama, Former Canal Zone","Panama, Former Canal Zone",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Panama, Former Canal Zone"
"311","Pitcairn","Pitcairn",NA,NA,NA,NA,"PCN",NA,"Pitcairn",NA,NA,"Pitcairn"
"312","Prince Edward Island","Prince Edward Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prince Edward Island"
"313","Réunion","Réunion",NA,NA,NA,NA,"REU",NA,"Réunion",NA,NA,"Réunion"
"314","Saint Barthélemy","Saint Barthélemy",NA,NA,NA,NA,"BLM",NA,"Saint Barthélemy",NA,NA,"Saint Barthélemy"
"315","Saint Martin (French part)","Saint Martin (French part)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Saint Martin (French part)"
"316","Scarborough Reef","Scarborough Reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scarborough Reef"
"317","Sint Maarten (Dutch part)","Sint Maarten (Dutch part)",NA,NA,NA,NA,"SXM",NA,"Sint Maarten (Dutch part)",NA,NA,"Sint Maarten (Dutch part)"
"318","Tromelin Island","Tromelin Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tromelin Island"
"319","Wake Island","Wake Island",NA,NA,NA,NA,"WAK",NA,"Wake Island",NA,NA,"Wake Island"
"320","West Papua","West Papua",NA,NA,NA,NA,NA,NA,NA,NA,NA,"West Papua"
"321","the Andaman and Nicobar Islands","Andaman and Nicobar Islands (the)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andaman and Nicobar Islands"
"322","the Ashmore and Cartier Islands","Ashmore and Cartier Islands (the)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ashmore and Cartier Islands"
"323","the Autonomous Republic of Crimea and the city of Sevastopol, Ukraine, temporarily occupied by the Russian Federation","Autonomous Republic of Crimea and the city of Sevastopol, Ukraine, temporarily occupied by the Russian Federation (the)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autonomous Republic of Crimea and the city of Sevastopol, Ukraine, temporarily occupied by the Russian Federation"
"324","the Bailiwick of Guernsey","Guernsey",NA,NA,NA,NA,"GGY",NA,"the Bailiwick of Guernsey",NA,NA,"Guernsey"
"325","the Bailiwick of Jersey","Jersey",NA,NA,NA,NA,"JEY",NA,"the Bailiwick of Jersey",NA,NA,"Jersey"
"326","the British Indian Ocean Territory","British Indian Ocean Territory (the)",NA,NA,NA,NA,"IOT",NA,"the British Indian Ocean Territory",NA,NA,"British Indian Ocean Territory"
"327","the British Virgin Islands","British Virgin Islands (the)",NA,NA,NA,NA,"VGB",NA,"the British Virgin Islands",NA,NA,"British Virgin Islands"
"328","the Canary Islands","Canary Islands (the)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Canary Islands"
"329","the Canton and Enderbury Islands","Canton and Enderbury Islands (the)",NA,NA,NA,NA,"",NA,"the Canton and Enderbury Islands",NA,NA,"Canton and Enderbury Islands"
"330","the Cayman Islands","Cayman Islands (the)",NA,NA,NA,NA,"CYM",NA,"the Cayman Islands",NA,NA,"Cayman Islands"
"331","the Chagos Archipelago","Chagos Archipelago (the)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chagos Archipelago"
"332","the Channel Islands","Channel Islands (the)",NA,NA,NA,NA,"",NA,"the Channel Islands",NA,NA,"Channel Islands"
"333","the Cocos (Keeling) Islands","Cocos (Keeling) Islands (the)",NA,NA,NA,NA,"CCK",NA,"the Cocos (Keeling) Islands",NA,NA,"Cocos (Keeling) Islands"
"334","the Commonwealth of Puerto Rico","Puerto Rico",NA,NA,NA,NA,"PRI",NA,"the Commonwealth of Puerto Rico",NA,NA,"Puerto Rico"
"335","the Commonwealth of the Northern Mariana Islands","Northern Mariana Islands (the)",NA,NA,NA,NA,"MNP",NA,"the Commonwealth of the Northern Mariana Islands",NA,NA,"Northern Mariana Islands"
"336","the Coral Sea Islands Territory","Coral Sea Islands Territory (the)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coral Sea Islands Territory"
"337","the European Union","European Union (the)",NA,NA,NA,NA,"EUR",NA,"the European Union",NA,NA,"European Union"
"338","the Faroe Islands","Faroe Islands (the)",NA,NA,NA,NA,"FRO",NA,"the Faroe Islands",NA,NA,"Faroe Islands"
"339","the French Southern Territories","French Southern Territories (the)",NA,NA,NA,NA,"ATF",NA,"the French Southern Territories",NA,NA,"French Southern Territories"
"340","the Gaza Strip","Gaza Strip (the)",NA,NA,NA,NA,"",NA,"the Gaza Strip",NA,NA,"Gaza Strip"
"341","the Glorioso Islands","Glorioso Islands (the)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glorioso Islands"
"342","the Golan Heights","Golan Heights (the)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Golan Heights"
"343","the Greater Antilles","Greater Antilles (the)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greater Antilles"
"344","the Hala'ib Triangle","Hala'ib Triangle (the)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hala'ib Triangle"
"345","the Holy See","Holy See (the)",NA,NA,NA,NA,"VAT",NA,"the Holy See",NA,NA,"Holy See"
"346","the Ilemi Triangle","Ilemi Triangle (the)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ilemi Triangle"
"347","the Independent State of Papua New Guinea","Papua New Guinea",NA,NA,NA,NA,"PNG",NA,"the Independent State of Papua New Guinea",NA,NA,"Papua New Guinea"
"348","the Islamic Republic of Afghanistan","Afghanistan",NA,NA,NA,NA,"AFG",NA,"the Islamic Republic of Afghanistan",NA,NA,"Afghanistan"
