"","O_name_En_Website","Short_name_En_Website","Country_name","Continent_name","Continent_ID","ISO3_country","ISO3_territory","O_Name_En_Emmanuel","O_Name_En_Stefania","Romname_Emmanuel","Maplab_Emmanuel","Short_name_En_Website2"
"41",NA,NA,"Cabo Verde","Africa","AFR","CPV","CPV","Republic of Cabo Verde",NA,"Cabo Verde","Cape Verde",NA
"42","the Kingdom of Cambodia","Cambodia","Cambodia","Asia","ASI","KHM","KHM","the Kingdom of Cambodia","the Kingdom of Cambodia","Cambodia","Cambodia","Cambodia"
"43","the Republic of Cameroon","Cameroon","Cameroon","Africa","AFR","CMR","CMR","the Republic of Cameroon","the Republic of Cameroon","Cameroon","Cameroon","Cameroon"
"44","Canada","Canada","Canada","America","AME","CAN","CAN","Canada","Canada","Canada","Canada","Canada"
"45","the Central African Republic","Central African Republic (the)","Central African Republic","Africa","AFR","CAF","CAF","the Central African Republic","the Central African Republic","Central African Republic","Central African Republic","Central African Republic"
"46","the Republic of Chad","Chad","Chad","Africa","AFR","TCD","TCD","the Republic of Chad","the Republic of Chad","Chad","Chad","Chad"
"47","the Republic of Chile","Chile","Chile","America","AME","CHL","CHL","the Republic of Chile","the Republic of Chile","Chile","Chile","Chile"
"48","China, Hong Kong Special Administrative Region","China, Hong Kong SAR","China","Asia","ASI","CHN","HKG","China, Hong Kong Special Administrative Region","China, Hong Kong Special Administrative Region","Hong Kong","Hong Kong, China","China, Hong Kong SAR"
"49","Taiwan Province of China","Taiwan Province of China","China","Asia","ASI","CHN","TWN","Taiwan Province of China","Taiwan Province of China","Taiwan","Taiwan","Taiwan Province of China"
"50","the People's Republic of China","China","China","Asia","ASI","CHN","CHN","the People's Republic of China","the People's Republic of China","China","China","China"
"51",NA,NA,"China","Asia","ASI","CHN","MAC","China, Macao SAR",NA,"Macao","Macao, China",NA
"52","the Republic of Colombia","Colombia","Colombia","America","AME","COL","COL","the Republic of Colombia","the Republic of Colombia","Colombia","Colombia","Colombia"
"53","the Union of the Comoros","Comoros (the)","Comoros","Africa","AFR","COM","COM","the Union of the Comoros","the Union of the Comoros","Comoros","Comoros","Comoros"
